mondoid,name
MONDO:0000061,"obsolete microcephaly, primary, autosomal recessive"
MONDO:0000062,isolated microphthalmia
MONDO:0000063,obsolete molybdenum cofactor deficiency
MONDO:0000064,obsolete syndromic microphthalmia
MONDO:0000065,"microvascular complications of diabetes, susceptibility"
MONDO:0000066,mitochondrial complex deficiency
MONDO:0000067,obsolete mitochondrial DNA depletion syndrome
MONDO:0000068,obsolete mucolipidosis
MONDO:0000069,obsolete multiple endocrine neoplasia
MONDO:0000070,"mycobacterium tuberculosis, susceptibility"
MONDO:0000071,"obsolete myopathy, myofibrillar"
MONDO:0000072,"obsolete myopathy, reducing body, X-linked"
MONDO:0000073,"obsolete nail disorder, nonsyndromic congenital"
MONDO:0000074,obsolete neurodegeneration with brain iron accumulation
MONDO:0000075,"neuronopathy, distal hereditary motor"
MONDO:0000076,"obsolete neuropathy, hereditary sensory and autonomic"
MONDO:0000077,obsolete nystagmus
MONDO:0000078,acrocephalopolysyndactyly
MONDO:0000079,"nephrolithiasis/osteoporosis, hypophosphatemic"
MONDO:0000080,obsolete Oto-palato-digital syndrome
MONDO:0000081,obsolete ovarian dysgenesis
MONDO:0000082,pelvic organ prolapse
MONDO:0000083,obsolete Griscelli syndrome
MONDO:0000084,obsolete pigmented nodular adrenocortical disease
MONDO:0000085,"obsolete pituitary hormone deficiency, combined"
MONDO:0000086,"obsolete polydactyly, preaxial"
MONDO:0000087,polymicrogyria
MONDO:0000088,precocious puberty
MONDO:0000089,obsolete age-related hearing impairment
MONDO:0000090,progressive external ophthalmoplegia with mitochondrial DNA deletions
MONDO:0000091,obsolete progressive familial heart block
MONDO:0000092,"obsolete pyloric stenosis, infantile"
MONDO:0000093,"Schistosoma mansoni infection, susceptibility"
MONDO:0000094,obsolete spherocytosis
MONDO:0000095,obsolete split-hand/foot malformation
MONDO:0000096,obsolete pulmonary surfactant metabolism dysfunction
MONDO:0000097,obsolete thyroid dyshormonogenesis
MONDO:0000098,obsolete thyrotoxic periodic paralysis
MONDO:0000099,"obsolete trichoepithelioma, multiple familial"
MONDO:0000100,obsolete trichorhinophalangeal syndrome
MONDO:0000101,obsolete tumoral calcinosis
MONDO:0000102,obsolete vertigo
MONDO:0000103,obsolete Wilms tumor
MONDO:0000104,"anemia, hypochromic microcytic with iron overload"
MONDO:0000105,"anemia, nonspherocytic hemolytic"
MONDO:0000106,obsolete apnea
MONDO:0000107,auriculocondylar syndrome
MONDO:0000108,"bacteremia, susceptibility"
MONDO:0000109,"obsolete basal ganglia calcification, idiopathic"
MONDO:0000110,bifid nose
MONDO:0000111,"camptodactyly syndrome, Guadalajara"
MONDO:0000112,"obsolete cardioencephalomyopathy, fatal infantile"
MONDO:0000113,"obsolete cerebellar ataxia, mental retardation, and dysequilibrium syndrome"
MONDO:0000114,cerebelloparenchymal disorder
MONDO:0000115,Chiari malformation
MONDO:0000116,"obsolete cortical dysplasia, complex, with other brain malformations"
MONDO:0000117,"obsolete diarrhea, congenital"
MONDO:0000118,reticulate pigment disorder
MONDO:0000119,"congenital heart defects, multiple types"
MONDO:0000120,"obsolete ectopia lentis, isolated"
MONDO:0000121,obsolete emphysema
MONDO:0000122,"obsolete facial paresis, hereditary congenital"
MONDO:0000123,"obsolete factor V and Factor VIII, combined deficiency of"
MONDO:0000124,obsolete focal facial dermal dysplasia
MONDO:0000125,"obsolete fundus dystrophy, pseudoinflammatory"
MONDO:0000126,obsolete gastric cancer
MONDO:0000127,geleophysic dysplasia
MONDO:0000128,giant axonal neuropathy
MONDO:0000129,glutaric aciduria
MONDO:0000130,obsolete hypercarotenemia and vitamin a deficiency
MONDO:0000131,"obsolete hyperpigmentation, familial progressive"
MONDO:0000132,obsolete hypocalcemia
MONDO:0000133,immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000134,obsolete inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia
MONDO:0000135,obsolete Kenny-Caffey syndrome
MONDO:0000136,keratosis follicularis spinulosa decalvans
MONDO:0000137,"leukoencephalopathy, megalencephalic"
MONDO:0000138,metaphyseal chondrodysplasia
MONDO:0000139,obsolete microcephalic primordial dwarfism
MONDO:0000140,obsolete MONDO:0000140
MONDO:0000141,mosaic variegated aneuploidy syndrome
MONDO:0000142,obsolete multiple congenital anomalies-hypotonia-seizures syndrome
MONDO:0000143,obsolete multiple mitochondrial dysfunctions syndrome
MONDO:0000144,"pregnancy loss, recurrent, susceptibility"
MONDO:0000145,obsolete premature aging syndrome
MONDO:0000146,obsolete progeroid syndrome
MONDO:0000147,polyposis
MONDO:0000148,"pulmonary fibrosis and/or bone marrow failure, telomere-related"
MONDO:0000149,obsolete retinopathy
MONDO:0000150,obsolete spondylometaphyseal dysplasia
MONDO:0000151,symphalangism
MONDO:0000152,thiamine-responsive dysfunction syndrome
MONDO:0000153,transposition of the great arteries
MONDO:0000154,obsolete Trichohepatoenteric syndrome
MONDO:0000155,triglyceride storage disease
MONDO:0000156,trigonocephaly
MONDO:0000157,"obsolete episodic pain syndrome, familial"
MONDO:0000158,developmental dysplasia of the hip
MONDO:0000159,bone marrow failure syndrome
MONDO:0000160,"epilepsy, familial adult myoclonic"
MONDO:0000161,obsolete adrenal hyperplasia
MONDO:0000162,"autoimmune thyroid disease, susceptibility to"
MONDO:0000163,"obsolete breast-ovarian cancer, familial, susceptibility to"
MONDO:0000164,"obsolete corneal dystrophy, Fuchs endothelial"
MONDO:0000165,obsolete ectodermal dysplasia-syndactyly syndrome
MONDO:0000166,"encephalopathy, acute, infection-induced"
MONDO:0000167,Huntington disease and related disorders
MONDO:0000168,"obsolete mental retardation, X-linked, nonsyndromic"
MONDO:0000169,"microphthalmia, isolated, with cataract"
MONDO:0000170,"microphthalmia, isolated, with coloboma"
MONDO:0000171,"muscular dystrophy-dystroglycanopathy, type A"
MONDO:0000172,"muscular dystrophy-dystroglycanopathy, type B"
MONDO:0000173,"muscular dystrophy-dystroglycanopathy, type C"
MONDO:0000174,obsolete split-hand/foot malformation with long bone deficiency
MONDO:0000175,obsolete ataxia-telangiectasia-like disorder
MONDO:0000176,obsolete megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome
MONDO:0000177,obsolete laryngeal abductor paralysis
MONDO:0000178,"obsolete breasts and/or nipples, aplasia or hypoplasia of"
MONDO:0000179,Neu-Laxova syndrome
MONDO:0000180,"obsolete inflammatory skin and bowel disease, neonatal"
MONDO:0000181,microcephaly and chorioretinopathy
MONDO:0000182,congenital myasthenic syndrome with tubular aggregates
MONDO:0000183,"obsolete hypertrophic osteoarthropathy, primary"
MONDO:0000184,obsolete congenital vitamin K-dependent coagulation factors combined deficiency
MONDO:0000185,"obsolete polyposis syndrome, hereditary mixed"
MONDO:0000186,obsolete spondyloepimetaphyseal dysplasia with joint laxity
MONDO:0000187,"obsolete ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome"
MONDO:0000188,GLUT1 deficiency syndrome
MONDO:0000189,obsolete Schindler disease
MONDO:0000190,ventricular fibrillation
MONDO:0000191,obsolete renal hypodysplasia/aplasia
MONDO:0000192,polyglucosan body myopathy
MONDO:0000193,cortisone reductase deficiency
MONDO:0000194,obsolete Otofaciocervical syndrome
MONDO:0000195,obsolete atrial standstill
MONDO:0000196,obsolete ataxia-oculomotor apraxia
MONDO:0000197,obsolete singleton-Merten syndrome
MONDO:0000198,obsolete linear skin defects with multiple congenital anomalies
MONDO:0000199,obsolete familial adenomatous polyposis
MONDO:0000200,Zimmermann-Laband syndrome
MONDO:0000201,"obsolete thyroid cancer, nonmedullary"
MONDO:0000202,obsolete Heimler syndrome
MONDO:0000203,obsolete Dehydrated hereditary stomatocytosis
MONDO:0000204,"obsolete skin creases, congenital symmetric circumferential"
MONDO:0000205,obsolete radioulnar synostosis with amegakaryocytic thrombocytopenia
MONDO:0000206,"obsolete cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy"
MONDO:0000207,"obsolete hypotonia, infantile, with psychomotor retardation and characteristic facies"
MONDO:0000208,"microcephaly, short stature, and impaired glucose metabolism 1"
MONDO:0000209,prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO:0000210,thiopurine metabolic disease
MONDO:0000211,"striatal degeneration, autosomal dominant"
MONDO:0000212,"hypercalcemia, infantile"
MONDO:0000213,"autoimmune disease, multisystem, infantile-onset"
MONDO:0000214,hypermanganesemia with dystonia
MONDO:0000215,"obsolete epilepsy, familial focal, with variable foci"
MONDO:0000216,obsolete congenital bilateral aplasia of vas deferens
MONDO:0000217,obsolete Frontometaphyseal dysplasia
MONDO:0000218,preimplantation embryonic lethality
MONDO:0000219,obsolete uncombable hair syndrome
MONDO:0000220,obsolete anterior segment dysgenesis
MONDO:0000221,obsolete cerebroretinal microangiopathy with calcifications and cysts
MONDO:0000222,seminal vesicle acute gonorrhea
MONDO:0000223,obsolete chikungunya
MONDO:0000224,acquired carbohydrate metabolism disease
MONDO:0000225,human monocytic ehrlichiosis
MONDO:0000226,mineral metabolism disease
MONDO:0000227,African tick-bite fever
MONDO:0000228,obsolete Astrakhan spotted fever
MONDO:0000229,Indian tick typhus
MONDO:0000230,Israeli tick typhus
MONDO:0000231,Far eastern spotted fever
MONDO:0000232,Flinders island spotted fever
MONDO:0000233,Japanese spotted fever
MONDO:0000234,Rickettsia parkeri spotted fever
MONDO:0000235,obsolete Rocky mountain spotted fever
MONDO:0000236,oropharyngeal anthrax
MONDO:0000237,erysipeloid
MONDO:0000238,pestis minor
MONDO:0000239,adiaspiromycosis
MONDO:0000240,invasive aspergillosis
MONDO:0000241,Keshan disease
MONDO:0000242,tinea barbae
MONDO:0000243,ectothrix infectious disease
MONDO:0000244,endothrix infectious disease
MONDO:0000245,tinea imbricata
MONDO:0000246,obsolete la Crosse encephalitis
MONDO:0000247,obsolete hemophagocytic lymphohistiocytosis
MONDO:0000248,dengue shock syndrome
MONDO:0000249,secretory diarrhea
MONDO:0000250,osmotic diarrheal disease
MONDO:0000251,diarrheal disease secondary to altered bowel motility
MONDO:0000252,inflammatory diarrhea
MONDO:0000253,piedra
MONDO:0000254,cutaneous mycosis
MONDO:0000255,subcutaneous mycosis
MONDO:0000256,systemic mycosis
MONDO:0000257,acute diarrhea
MONDO:0000258,obsolete intestinal botulism
MONDO:0000259,asymptomatic dengue
MONDO:0000260,obsolete Kartagener syndrome
MONDO:0000261,adenoiditis
MONDO:0000262,otomycosis
MONDO:0000263,laryngotracheitis
MONDO:0000264,obsolete Pontiac fever
MONDO:0000265,aspiration pneumonia
MONDO:0000266,pulmonary aspergilloma
MONDO:0000267,obsolete cryptogenic organizing pneumonia
MONDO:0000268,obsolete lymphoid interstitial pneumonia
MONDO:0000269,obsolete inhalation anthrax
MONDO:0000270,lower respiratory tract disease
MONDO:0000271,tuberculous salpingitis
MONDO:0000272,obsolete autoimmune polyendocrine syndrome type 2
MONDO:0000273,Kunjin virus infectous disease
MONDO:0000274,obsolete tick-borne encephalitis
MONDO:0000275,obsolete monogenic disease
MONDO:0000276,Powassan encephalitis
MONDO:0000277,obsolete Argentine hemorrhagic fever
MONDO:0000278,obsolete Bolivian hemorrhagic fever
MONDO:0000279,obsolete Venezuelan hemorrhagic fever
MONDO:0000280,obsolete Brazilian hemorrhagic fever
MONDO:0000281,obsolete Chapare hemorrhagic fever
MONDO:0000282,Whitewater Arroyo hemorrhagic fever
MONDO:0000283,"Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type"
MONDO:0000284,"Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type"
MONDO:0000285,obsolete lujo hemorrhagic fever
MONDO:0000286,Epstein-Barr virus hepatitis
MONDO:0000287,obsolete Lambert-Eaton myasthenic syndrome
MONDO:0000288,polycystic echinococcosis
MONDO:0000289,obsolete selective IgM deficiency disease
MONDO:0000290,primary amebic meningoencephalitis
MONDO:0000291,granulomatous amebic encephalitis
MONDO:0000292,philophthalmiasis
MONDO:0000293,coenurosis
MONDO:0000294,mesocestoidiasis
MONDO:0000295,acanthocephaliasis
MONDO:0000296,obsolete angiostrongyliasis
MONDO:0000297,baylisascariasis
MONDO:0000298,dioctophymiasis
MONDO:0000299,thelaziasis
MONDO:0000300,obsolete tungiasis
MONDO:0000301,ophthalmomyiasis
MONDO:0000302,basidiobolomycosis
MONDO:0000303,conidiobolomycosis
MONDO:0000304,penicilliosis
MONDO:0000305,obsolete fusariosis
MONDO:0000306,trichosporonosis
MONDO:0000307,parasitic Ichthyosporea infectious disease
MONDO:0000308,primary systemic mycosis
MONDO:0000309,aniseikonia
MONDO:0000310,Alkhurma hemorrhagic fever
MONDO:0000311,obsolete congenital hypothyroidism
MONDO:0000312,obsolete enlarged vestibular aqueduct
MONDO:0000313,hypophosphatemia
MONDO:0000314,primary bacterial infectious disease
MONDO:0000315,commensal bacterial infectious disease
MONDO:0000316,opportunistic bacterial infectious disease
MONDO:0000317,obsolete foodborne botulism
MONDO:0000318,obsolete wound botulism
MONDO:0000319,obsolete infant botulism
MONDO:0000320,glandular tularemia
MONDO:0000321,typhoidal tularemia
MONDO:0000322,obsolete Carrion disease
MONDO:0000323,obsolete familial adenomatous polyposis
MONDO:0000324,obsolete familial partial lipodystrophy
MONDO:0000325,obsolete pachyonychia congenita
MONDO:0000326,obsolete lissencephaly
MONDO:0000327,Buruli ulcer disease
MONDO:0000328,hyperphosphatemia
MONDO:0000329,obsolete epidemic typhus
MONDO:0000330,endemic typhus
MONDO:0000331,Rickettsia helvetica spotted fever
MONDO:0000332,sennetsu fever
MONDO:0000333,early congenital syphilis
MONDO:0000334,multinodular goiter
MONDO:0000335,parenchymatous neurosyphilis
MONDO:0000336,meningovascular neurosyphilis
MONDO:0000337,exanthema subitum
MONDO:0000338,variola major infectious disease
MONDO:0000339,spinal polio
MONDO:0000340,bulbospinal polio
MONDO:0000341,paralytic poliomyelitis
MONDO:0000342,O'nyong'nyong fever
MONDO:0000343,Barmah forest virus disease
MONDO:0000344,Ross river fever
MONDO:0000345,Oropouche fever
MONDO:0000346,"Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type"
MONDO:0000347,obsolete adult T-cell leukemia/lymphoma
MONDO:0000348,obsolete posterior polar cataract
MONDO:0000349,obsolete Charcot-Marie-Tooth disease type 1
MONDO:0000350,obsolete Charcot-Marie-Tooth disease intermediate type
MONDO:0000351,disorder of methionine catabolism
MONDO:0000352,obsolete hereditary sensory neuropathy
MONDO:0000353,obsolete Saldino-Noonan syndrome
MONDO:0000354,obsolete JMP syndrome
MONDO:0000355,Ullrich congenital muscular dystrophy
MONDO:0000356,obsolete Walker-Warburg syndrome
MONDO:0000357,obsolete West syndrome
MONDO:0000358,orofacial cleft
MONDO:0000359,spondylocostal dysostosis
MONDO:0000360,obsolete 2-hydroxyglutaric aciduria
MONDO:0000361,obsolete d-2-hydroxyglutaric aciduria
MONDO:0000362,obsolete Sensenbrenner syndrome
MONDO:0000363,gummatous syphilis
MONDO:0000364,obsolete severe congenital neutropenia
MONDO:0000365,primary congenital glaucoma
MONDO:0000366,obsolete glycogen storage disease IX
MONDO:0000367,taeniasis
MONDO:0000368,extrapulmonary tuberculosis
MONDO:0000369,abdominal tuberculosis
MONDO:0000370,obsolete Askin's tumor
MONDO:0000371,oral cavity carcinoma in situ
MONDO:0000372,pharynx carcinoma in situ
MONDO:0000373,gall bladder carcinoma in situ
MONDO:0000374,bile duct carcinoma in situ
MONDO:0000375,bronchus carcinoma in situ
MONDO:0000376,respiratory system cancer
MONDO:0000377,malignant Leydig cell tumor
MONDO:0000378,malignant Sertoli cell tumor
MONDO:0000379,malignant Sertoli-Leydig cell tumor
MONDO:0000380,paranasal sinus carcinoma
MONDO:0000381,infiltrating renal pelvis transitional cell carcinoma
MONDO:0000382,respiratory system benign neoplasm
MONDO:0000383,benign reproductive system neoplasm
MONDO:0000384,bladder benign neoplasm
MONDO:0000385,benign digestive system neoplasm
MONDO:0000386,"digestive system neuroendocrine tumor, grade 1/2"
MONDO:0000387,hypochromic microcytic anemia
MONDO:0000388,obsolete anonychia congenita
MONDO:0000389,atelosteogenesis
MONDO:0000390,vitelliform macular dystrophy
MONDO:0000391,obsolete Bethlem myopathy
MONDO:0000392,obsolete fetal alcohol syndrome
MONDO:0000393,partial fetal alcohol syndrome
MONDO:0000394,obsolete alcohol-related neurodevelopmental disorder
MONDO:0000395,alcohol-related birth defect
MONDO:0000396,spastic cerebral palsy
MONDO:0000397,ataxic cerebral palsy
MONDO:0000398,obsolete female breast cancer
MONDO:0000399,obsolete dyskinetic cerebral palsy
MONDO:0000400,mixed cerebral palsy
MONDO:0000401,obsolete congenital bile acid synthesis defect
MONDO:0000402,small cell carcinoma
MONDO:0000403,obsolete organ system cancer
MONDO:0000404,obsolete cell type cancer
MONDO:0000405,anal canal cancer
MONDO:0000406,obsolete Brown-Vialetto-van Laere syndrome
MONDO:0000407,malignant pleural solitary fibrous tumor
MONDO:0000408,fetal alcohol spectrum disorder
MONDO:0000409,chorioamnionitis
MONDO:0000410,funisitis
MONDO:0000411,electroclinical syndrome
MONDO:0000412,neonatal period electroclinical syndrome
MONDO:0000413,infancy electroclinical syndrome
MONDO:0000414,childhood electroclinical syndrome
MONDO:0000415,adolescence-adult electroclinical syndrome
MONDO:0000416,obsolete variable age at onset electroclinical syndrome
MONDO:0000417,early onset absence epilepsy
MONDO:0000418,obsolete Ohtahara syndrome
MONDO:0000419,obsolete 3-Methylcrotonyl-CoA carboxylase deficiency
MONDO:0000420,obsolete cerebral folate receptor alpha deficiency
MONDO:0000421,inborn serine deficiency
MONDO:0000422,obsolete inborn glycogen metabolism disorder
MONDO:0000423,obsolete coenzyme Q10 deficiency disease
MONDO:0000424,inborn vitamin B12 deficiency
MONDO:0000425,X-linked disease
MONDO:0000426,autosomal dominant disease
MONDO:0000427,obsolete autosomal recessive disease
MONDO:0000428,Y-linked disease
MONDO:0000429,autosomal genetic disease
MONDO:0000430,mature T-cell and NK-cell non-Hodgkin lymphoma
MONDO:0000431,obsolete mantle cell lymphoma
MONDO:0000432,lymphoplasmacytic lymphoma
MONDO:0000433,obsolete marginal zone B-cell lymphoma
MONDO:0000434,obsolete peripheral T-cell lymphoma
MONDO:0000435,obsolete splenic marginal zone lymphoma
MONDO:0000436,obsolete T-cell large granular lymphocyte leukemia
MONDO:0000437,cerebellar ataxia
MONDO:0000438,obsolete ataxia with oculomotor apraxia type 2
MONDO:0000439,obsolete batten disease
MONDO:0000440,metabolic acidosis
MONDO:0000441,obsolete X-linked myopathy with excessive autophagy
MONDO:0000442,obsolete paramyloidosis
MONDO:0000443,obsolete adenylosuccinase lyase deficiency
MONDO:0000444,obsolete ARC syndrome
MONDO:0000445,obsolete neuroacanthocytosis
MONDO:0000446,midface dysplasia
MONDO:0000447,autosomal dominant polycystic liver disease
MONDO:0000448,paraganglioma
MONDO:0000449,obsolete Opitz-GBBB syndrome
MONDO:0000450,secondary progressive multiple sclerosis
MONDO:0000451,primary progressive multiple sclerosis
MONDO:0000452,progressive relapsing multiple sclerosis
MONDO:0000453,short QT syndrome
MONDO:0000454,obsolete multiple synostoses syndrome
MONDO:0000455,cone dystrophy
MONDO:0000456,cerebral creatine deficiency syndrome
MONDO:0000457,classical glioblastoma
MONDO:0000458,proneural glioblastoma
MONDO:0000459,mesenchymal glioblastoma
MONDO:0000460,neural glioblastoma
MONDO:0000461,nutritional biotin deficiency
MONDO:0000462,eye adnexa disease
MONDO:0000463,Ochoa syndrome
MONDO:0000464,obsolete Stargardt disease
MONDO:0000465,atrioventricular block
MONDO:0000466,first-degree atrioventricular block
MONDO:0000467,second-degree atrioventricular block
MONDO:0000468,third-degree atrioventricular block
MONDO:0000469,sinoatrial node disease
MONDO:0000470,endocardium disease
MONDO:0000471,tricuspid valve disease
MONDO:0000472,obsolete rheumatic heart disease
MONDO:0000473,arterial disorder
MONDO:0000474,pericardium disease
MONDO:0000475,obsolete pyrimidine metabolic disorder
MONDO:0000476,generalized dystonia
MONDO:0000477,focal dystonia
MONDO:0000478,multifocal dystonia
MONDO:0000479,segmental dystonia
MONDO:0000480,anismus
MONDO:0000481,cervical dystonia
MONDO:0000482,focal hand dystonia
MONDO:0000483,oculogyric crisis
MONDO:0000484,obsolete oromandibular dystonia
MONDO:0000485,spasmodic dystonia
MONDO:0000486,craniofacial dystonia
MONDO:0000487,hemidystonia
MONDO:0000488,periampullary adenoma
MONDO:0000489,diabetic encephalopathy
MONDO:0000490,glomerulosclerosis
MONDO:0000491,limb ischemia
MONDO:0000492,chronic venous insufficiency
MONDO:0000493,obsolete Muckle-Wells syndrome
MONDO:0000494,renal fibrosis
MONDO:0000495,oppositional defiant disorder
MONDO:0000496,hemorrhagic cystitis
MONDO:0000497,pyometritis
MONDO:0000498,arteritic anterior ischemic optic neuropathy
MONDO:0000499,non-arteritic anterior ischemic optic neuropathy
MONDO:0000500,tongue squamous cell carcinoma
MONDO:0000501,obsolete Jensen syndrome
MONDO:0000502,villous adenoma
MONDO:0000503,lung adenocarcinoma in situ
MONDO:0000504,obsolete follicular lymphoma
MONDO:0000505,obsolete small cell neuroendocrine carcinoma
MONDO:0000506,obsolete Caroli disease
MONDO:0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000508,syndromic intellectual disability
MONDO:0000509,non-syndromic intellectual disability
MONDO:0000510,synucleinopathy
MONDO:0000511,obsolete gallbladder adenoma
MONDO:0000512,obsolete ameloblastoma
MONDO:0000513,bone ameloblastoma
MONDO:0000514,bone squamous cell carcinoma
MONDO:0000515,bone chondrosarcoma
MONDO:0000516,phalanx chondroma
MONDO:0000517,brain stem medulloblastoma
MONDO:0000518,sacrum chordoma
MONDO:0000519,corpus callosum oligodendroglioma
MONDO:0000520,parietal lobe ependymal tumor
MONDO:0000521,salivary gland carcinoma
MONDO:0000522,obsolete inflammatory myofibroblastic tumor
MONDO:0000523,obsolete conjunctival nevus
MONDO:0000524,mixed extragonadal germ cell cancer
MONDO:0000525,cecum villous adenoma
MONDO:0000526,obsolete appendix carcinoid tumor
MONDO:0000527,colon adenoma
MONDO:0000528,obsolete MONDO:0000528
MONDO:0000529,obsolete MONDO:0000529
MONDO:0000530,rectum adenoma
MONDO:0000531,bronchus mucoepidermoid carcinoma
MONDO:0000532,lung combined type small cell adenocarcinoma
MONDO:0000533,obsolete vaginal carcinoma
MONDO:0000534,trachea mucoepidermoid carcinoma
MONDO:0000535,tonsil squamous cell carcinoma
MONDO:0000536,pharyngeal squamous cell carcinoma
MONDO:0000537,obsolete gastrointestinal carcinoma
MONDO:0000538,obsolete spindle epithelial tumor with thymus-like differentiation tumor
MONDO:0000539,striated muscle rhabdoid tumor
MONDO:0000540,small intestinal neuroendocrine tumor G1
MONDO:0000541,jejunal adenocarcinoma
MONDO:0000542,obsolete duodenum adenoma
MONDO:0000543,ovarian melanoma
MONDO:0000544,mucosal melanoma
MONDO:0000545,sublingual gland adenoid cystic carcinoma
MONDO:0000546,obsolete parotid gland adenoid cystic carcinoma
MONDO:0000547,obsolete ovarian serous carcinoma
MONDO:0000548,ovarian clear cell cancer
MONDO:0000549,cervical neuroblastoma
MONDO:0000550,extra-adrenal sympathetic paraganglioma
MONDO:0000551,retroperitoneal neuroblastoma
MONDO:0000552,breast lobular carcinoma
MONDO:0000553,uterine corpus endometrial carcinoma
MONDO:0000554,endocervical adenocarcinoma
MONDO:0000555,obsolete autosomal recessive hypophosphatemic rickets
MONDO:0000556,obsolete autosomal recessive cerebellar ataxia
MONDO:0000557,obsolete hereditary ataxia
MONDO:0000558,obsolete spastic ataxia
MONDO:0000559,obsolete MONDO:0000559
MONDO:0000560,obsolete spinocerebellar ataxia type 4
MONDO:0000561,spinocerebellar ataxia type 16
MONDO:0000562,obsolete hypomyelinating leukoencephalopathy
MONDO:0000563,GRID2-related autosomal dominant spinocerebellar ataxia
MONDO:0000564,"obsolete cerebellar ataxia, mental retardation and dysequlibrium syndrome"
MONDO:0000565,infective endocarditis
MONDO:0000566,obsolete substance withdrawal disorder
MONDO:0000567,obsolete C1 inhibitor deficiency
MONDO:0000568,autoimmune disease of central nervous system
MONDO:0000569,autoimmune disease of endocrine system
MONDO:0000570,obsolete severe combined immunodeficiency due to artemis deficiency
MONDO:0000571,obsolete CD3zeta deficiency
MONDO:0000572,recombinase activating gene 1 deficiency
MONDO:0000573,recombinase activating gene 2 deficiency
MONDO:0000574,obsolete CD45 deficiency
MONDO:0000575,obsolete MONDO:0000575
MONDO:0000576,obsolete CD3delta deficiency
MONDO:0000577,congenital anemia
MONDO:0000578,obsolete CD3gamma deficiency
MONDO:0000579,obsolete coronin-1A deficiency
