protein_id,protein_name,drug_id,drug_name,act_type
5290,VDR_HUMAN,464,calcifediol,
5290,VDR_HUMAN,465,calcipotriene,Kd
5290,VDR_HUMAN,466,calcitriol,EC50
9592,TRY1_HUMAN,471,camostat,IC50
15898,AGTR1_HUMAN,475,candesartan cilexetil,IC50
5444,TYSY_HUMAN,480,capecitabine,
15580,ACE_HUMAN,484,captopril,Ki
15325,ACM3_HUMAN,488,carbachol,EC50
8363,SCN5A_HUMAN,489,carbamazepine,
8479,SCN4A_HUMAN,489,carbamazepine,Ki
8459,SCN9A_HUMAN,489,carbamazepine,IC50
2737,DHI1_HUMAN,493,carbenoxolone,IC50
3196,DDC_HUMAN,496,carbidopa,
6721,HRH1_HUMAN,499,carbinoxamine,
10566,PF2R_HUMAN,502,carboprost,
17968,GSHR_HUMAN,512,carmustine,IC50
15543,5HT2A_HUMAN,516,carfenazine,
570,DRD2_HUMAN,516,carfenazine,
10808,PGH2_HUMAN,518,carprofen,IC50
15871,ADRB1_HUMAN,520,carteolol,Ki
15277,ADRB2_HUMAN,520,carteolol,Ki
15871,ADRB1_HUMAN,522,carvedilol,Ki
15277,ADRB2_HUMAN,522,carvedilol,Ki
10808,PGH2_HUMAN,568,celecoxib,IC50
6025,HMDH_HUMAN,577,cerivastatin,IC50
2262,CCKAR_HUMAN,579,ceruletide,
6721,HRH1_HUMAN,581,cetirizine,Ki
18039,GNRHR_HUMAN,583,cetrorelix,Ki
15806,ACM1_HUMAN,584,cevimeline,EC50
15325,ACM3_HUMAN,584,cevimeline,EC50
1031,GBRA1_HUMAN,594,chlordiazepoxide,Ki
1283,GBRG2_HUMAN,594,chlordiazepoxide,Ki
2778,GBRB2_HUMAN,594,chlordiazepoxide,Ki
1316,GBRB3_HUMAN,594,chlordiazepoxide,Ki
2748,GBRA2_HUMAN,594,chlordiazepoxide,Ki
1309,GBRA3_HUMAN,594,chlordiazepoxide,Ki
1313,GBRA5_HUMAN,594,chlordiazepoxide,Ki
8364,SCNAA_HUMAN,605,chloroprocaine,
8380,S12A3_HUMAN,609,chlorothiazide,A2
1652,ESR2_HUMAN,610,chlorotrianisene,
6721,HRH1_HUMAN,616,chlorphenamine,Ki
8449,SC6A4_HUMAN,618,chlorphentermine,Ki
570,DRD2_HUMAN,621,chlorpromazine,Ki
570,DRD2_HUMAN,623,chlorprothixene,Ki
8380,S12A3_HUMAN,625,chlortalidone,
1184,GCR_HUMAN,633,ciclesonide,Ki
530,DPEP1_HUMAN,640,cilastatin,Ki
10461,PDE3A_HUMAN,644,cilostazol,IC50
6097,HRH2_HUMAN,645,cimetidine,Kd
13097,CASR_HUMAN,647,cinacalcet,EC50
15369,5HT4R_HUMAN,660,cisapride,Ki
15345,ACHA_HUMAN,661,cisatracurium,IC50
15678,ACHB_HUMAN,661,cisatracurium,IC50
15266,ACHD_HUMAN,661,cisatracurium,IC50
8449,SC6A4_HUMAN,663,citalopram,Kd
6721,HRH1_HUMAN,671,clemastine,Ki
13073,CAC1C_HUMAN,674,clevidipine,
13223,CAC1D_HUMAN,674,clevidipine,
15806,ACM1_HUMAN,676,clidinium,
15325,ACM3_HUMAN,676,clidinium,Ki
1031,GBRA1_HUMAN,682,clobazam,
1283,GBRG2_HUMAN,682,clobazam,
2778,GBRB2_HUMAN,682,clobazam,
1278,DPOLA_HUMAN,691,clofarabine,
10260,RIR1_HUMAN,691,clofarabine,IC50
11173,RIR2_HUMAN,691,clofarabine,IC50
18844,PPARA_HUMAN,694,clofibrate,IC50
767,ESR1_HUMAN,700,clomifene,Ki
8206,SC6A2_HUMAN,701,clomipramine,Kd
8449,SC6A4_HUMAN,701,clomipramine,Ki
1031,GBRA1_HUMAN,703,clonazepam,Ki
1283,GBRG2_HUMAN,703,clonazepam,Ki
2778,GBRB2_HUMAN,703,clonazepam,Ki
15387,ADA2C_HUMAN,704,clonidine,EC50
15848,ADA2A_HUMAN,704,clonidine,Ki
15360,ADA2B_HUMAN,704,clonidine,Ki
18310,P2Y12_HUMAN,708,clopidogrel,Ki
1031,GBRA1_HUMAN,711,clorazepate,EC50
1283,GBRG2_HUMAN,711,clorazepate,EC50
2778,GBRB2_HUMAN,711,clorazepate,EC50
1283,GBRG2_HUMAN,711,clorazepate,
1316,GBRB3_HUMAN,711,clorazepate,
2748,GBRA2_HUMAN,711,clorazepate,
1309,GBRA3_HUMAN,711,clorazepate,
1313,GBRA5_HUMAN,711,clorazepate,
570,DRD2_HUMAN,722,clozapine,Ki
15543,5HT2A_HUMAN,722,clozapine,Ki
8358,SC6A3_HUMAN,723,cocaine,Ki
18529,OPRM_HUMAN,725,codeine,Ki
5334,V1AR_HUMAN,732,conivaptan,Ki
14151,V2R_HUMAN,732,conivaptan,Ki
1184,GCR_HUMAN,734,cortisone acetate,Kd
1184,GCR_HUMAN,736,cortivazol,
6721,HRH1_HUMAN,749,cyclizine,Ki
15543,5HT2A_HUMAN,751,cyclobenzaprine,Ki
15325,ACM3_HUMAN,757,cyclopentolate,
19100,PPIA_HUMAN,760,ciclosporin,IC50
8380,S12A3_HUMAN,761,cyclothiazide,
15806,ACM1_HUMAN,763,cycrimine,
6721,HRH1_HUMAN,765,cyproheptadine,Ki
15965,ANDR_HUMAN,766,cyproterone acetate,IC50
1278,DPOLA_HUMAN,770,cytarabine,
14103,DPOD1_HUMAN,770,cytarabine,
691,DPOE1_HUMAN,770,cytarabine,
16701,THRB_HUMAN,776,dabigatran etexilate,Ki
15965,ANDR_HUMAN,779,danazol,
9980,PRGR_HUMAN,779,danazol,
4061,RYR1_HUMAN,780,dantrolene,Ki
4159,RYR3_HUMAN,780,dantrolene,
15934,ADA1A_HUMAN,781,dapiprazole,
15894,ADA1D_HUMAN,781,dapiprazole,Ki
15325,ACM3_HUMAN,784,darifenacin,Kd
10475,PGFRB_HUMAN,785,dasatinib,Kd
17769,KIT_HUMAN,785,dasatinib,Kd
4422,SRC_HUMAN,785,dasatinib,Kd
12122,LCK_HUMAN,785,dasatinib,Kd
5367,YES_HUMAN,785,dasatinib,Kd
5845,FYN_HUMAN,785,dasatinib,Kd
717,EPHA2_HUMAN,785,dasatinib,Kd
15608,ABL1_HUMAN,785,dasatinib,IC50
9079,TOP2A_HUMAN,786,daunorubicin,
15345,ACHA_HUMAN,789,decamethonium,
15307,ACHG_HUMAN,789,decamethonium,
15678,ACHB_HUMAN,789,decamethonium,
15596,ACHE_HUMAN,789,decamethonium,
15266,ACHD_HUMAN,789,decamethonium,
495,DNMT1_HUMAN,790,decitabine,IC50
491,DNM3A_HUMAN,790,decitabine,
15595,ACES_HUMAN,801,demecarium,
14338,VMAT2_HUMAN,810,deserpidine,
1320,GBRP_HUMAN,811,desflurane,
1035,GBRD_HUMAN,811,desflurane,
1031,GBRA1_HUMAN,811,desflurane,
1315,GBRB1_HUMAN,811,desflurane,
1283,GBRG2_HUMAN,811,desflurane,
1316,GBRB3_HUMAN,811,desflurane,
1313,GBRA5_HUMAN,811,desflurane,
1309,GBRA3_HUMAN,811,desflurane,
2748,GBRA2_HUMAN,811,desflurane,
2778,GBRB2_HUMAN,811,desflurane,
1311,GBRA4_HUMAN,811,desflurane,
1365,GBRE_HUMAN,811,desflurane,
2776,GBRA6_HUMAN,811,desflurane,
1282,GBRG1_HUMAN,811,desflurane,
1036,GBRG3_HUMAN,811,desflurane,
1323,GBRT_HUMAN,811,desflurane,
17644,KCNK2_HUMAN,811,desflurane,
17645,KCNK3_HUMAN,811,desflurane,
17979,KCNK9_HUMAN,811,desflurane,
17980,KCNKA_HUMAN,811,desflurane,
17676,KCNKI_HUMAN,811,desflurane,
17827,GLRA1_HUMAN,811,desflurane,
18066,GLRB_HUMAN,811,desflurane,
8206,SC6A2_HUMAN,812,desipramine,Kd
13813,AT1A1_HUMAN,813,deslanoside,
17103,AT1B1_HUMAN,813,deslanoside,
17101,AT1A3_HUMAN,813,deslanoside,
16889,AT1B2_HUMAN,813,deslanoside,
16891,AT1A2_HUMAN,813,deslanoside,
17008,AT1B3_HUMAN,813,deslanoside,
16863,ATNG_HUMAN,813,deslanoside,
13820,AT1A4_HUMAN,813,deslanoside,
6721,HRH1_HUMAN,814,desloratadine,Ki
9980,PRGR_HUMAN,818,desogestrel,
1184,GCR_HUMAN,819,desoximetasone,Ki
11754,MCR_HUMAN,820,desoxycortone,IC50
11754,MCR_HUMAN,821,desoxycorticosterone acetate,
11754,MCR_HUMAN,822,desoxycorticosterone pivalate,EC50
1184,GCR_HUMAN,824,dexamethasone,EC50
1184,GCR_HUMAN,826,dexamethasone acetate,
6721,HRH1_HUMAN,830,dexbrompheniramine,
15379,ACM2_HUMAN,831,dexetimide,Ki
10808,PGH2_HUMAN,833,dexketoprofen,IC50
10479,PGH1_HUMAN,833,dexketoprofen,IC50
15848,ADA2A_HUMAN,835,dexmedetomidine,EC50
15360,ADA2B_HUMAN,835,dexmedetomidine,Ki
15387,ADA2C_HUMAN,835,dexmedetomidine,Ki
8206,SC6A2_HUMAN,836,dexmethylphenidate,
8358,SC6A3_HUMAN,836,dexmethylphenidate,Ki
8358,SC6A3_HUMAN,841,dexamfetamine,Ki
14338,VMAT2_HUMAN,841,dexamfetamine,
8206,SC6A2_HUMAN,841,dexamfetamine,Ki
18529,OPRM_HUMAN,844,dextropropoxyphene,
9133,THA_HUMAN,846,dextrothyroxine,
16629,THB_HUMAN,846,dextrothyroxine,
18386,OPRK_HUMAN,847,dezocine,
18529,OPRM_HUMAN,847,dezocine,EC50
1031,GBRA1_HUMAN,852,diazepam,EC50
1283,GBRG2_HUMAN,852,diazepam,EC50
2778,GBRB2_HUMAN,852,diazepam,EC50
1283,GBRG2_HUMAN,852,diazepam,Ki
1316,GBRB3_HUMAN,852,diazepam,Ki
2748,GBRA2_HUMAN,852,diazepam,Ki
1309,GBRA3_HUMAN,852,diazepam,Ki
1313,GBRA5_HUMAN,852,diazepam,Ki
1031,GBRA1_HUMAN,852,diazepam,Ki
2778,GBRB2_HUMAN,852,diazepam,Ki
1036,GBRG3_HUMAN,852,diazepam,Ki
16117,ABCC8_HUMAN,854,diazoxide,EC50
19228,KCJ11_HUMAN,854,diazoxide,EC50
8363,SCN5A_HUMAN,859,cinchocaine,
8364,SCNAA_HUMAN,859,cinchocaine,
13132,CAH2_HUMAN,864,dichlorphenamide,Ki
13070,CAH1_HUMAN,864,dichlorphenamide,IC50
13220,CAH12_HUMAN,864,dichlorphenamide,Ki
13175,CAH4_HUMAN,864,dichlorphenamide,Ki
10808,PGH2_HUMAN,865,diclofenac,IC50
10479,PGH1_HUMAN,865,diclofenac,IC50
14169,VKOR1_HUMAN,867,dicoumarol,IC50
15806,ACM1_HUMAN,868,dicycloverine,Ki
15325,ACM3_HUMAN,868,dicycloverine,Ki
767,ESR1_HUMAN,870,dienestrol,EC50
8206,SC6A2_HUMAN,874,diethylpropion,
8358,SC6A3_HUMAN,874,diethylpropion,
767,ESR1_HUMAN,875,diethylstilbestrol,Ki
18529,OPRM_HUMAN,878,difenoxin,
10808,PGH2_HUMAN,880,diflunisal,IC50
10479,PGH1_HUMAN,880,diflunisal,IC50
13813,AT1A1_HUMAN,881,digitoxin,
13813,AT1A1_HUMAN,882,digoxin,IC50
17103,AT1B1_HUMAN,882,digoxin,IC50
17101,AT1A3_HUMAN,882,digoxin,IC50
16889,AT1B2_HUMAN,882,digoxin,IC50
16891,AT1A2_HUMAN,882,digoxin,IC50
17008,AT1B3_HUMAN,882,digoxin,IC50
16863,ATNG_HUMAN,882,digoxin,IC50
13820,AT1A4_HUMAN,882,digoxin,IC50
18529,OPRM_HUMAN,886,dihydrocodeine,
16115,5HT1D_HUMAN,888,dihydroergotamine,Ki
13073,CAC1C_HUMAN,897,diltiazem,IC50
6721,HRH1_HUMAN,901,dimenhydrinate,Ki
15345,ACHA_HUMAN,908,dimethyltubocurarinium,IC50
15678,ACHB_HUMAN,908,dimethyltubocurarinium,IC50
15266,ACHD_HUMAN,908,dimethyltubocurarinium,IC50
10566,PF2R_HUMAN,912,dinoprost,Kd
10528,PE2R1_HUMAN,913,dinoprostone,Ki
10893,PE2R3_HUMAN,913,dinoprostone,Ki
9939,PE2R2_HUMAN,913,dinoprostone,Ki
10470,PE2R4_HUMAN,913,dinoprostone,Ki
15806,ACM1_HUMAN,915,diphemanil,
15325,ACM3_HUMAN,915,diphemanil,
6721,HRH1_HUMAN,916,diphenhydramine,Ki
18529,OPRM_HUMAN,918,diphenoxylate,IC50
6721,HRH1_HUMAN,920,diphenylpyraline,Ki
15848,ADA2A_HUMAN,922,dipivefrine,
15360,ADA2B_HUMAN,922,dipivefrine,
15387,ADA2C_HUMAN,922,dipivefrine,
10515,PDE5A_HUMAN,924,dipyridamole,IC50
10401,PDE10_HUMAN,924,dipyridamole,Ki
4573,S29A1_HUMAN,924,dipyridamole,Ki
10933,PDE2A_HUMAN,924,dipyridamole,IC50
10980,PDE7B_HUMAN,924,dipyridamole,IC50
10391,PDE8A_HUMAN,924,dipyridamole,IC50
10538,PDE3B_HUMAN,924,dipyridamole,IC50
10461,PDE3A_HUMAN,924,dipyridamole,IC50
10399,PDE7A_HUMAN,924,dipyridamole,Ki
10980,PDE7B_HUMAN,924,dipyridamole,Ki
10520,PDE6D_HUMAN,924,dipyridamole,Ki
10516,PDE6A_HUMAN,924,dipyridamole,Ki
24,CNRG_HUMAN,924,dipyridamole,Ki
10931,PDE6B_HUMAN,924,dipyridamole,Ki
10932,PDE6C_HUMAN,924,dipyridamole,Ki
17,CNCG_HUMAN,924,dipyridamole,Ki
10930,PDE1A_HUMAN,924,dipyridamole,IC50
10981,PDE1B_HUMAN,924,dipyridamole,IC50
10796,PDE1C_HUMAN,924,dipyridamole,IC50
10506,PDE8B_HUMAN,924,dipyridamole,IC50
10540,PDE4A_HUMAN,924,dipyridamole,IC50
8363,SCN5A_HUMAN,926,disopyramide,
15595,ACES_HUMAN,927,distigmine,
16102,ALDH2_HUMAN,928,disulfiram,
15871,ADRB1_HUMAN,937,dobutamine,EC50
15277,ADRB2_HUMAN,937,dobutamine,EC50
8775,TBB5_HUMAN,939,docetaxel,ID50
4178,TBB1_HUMAN,939,docetaxel,ID50
8835,TBB2A_HUMAN,939,docetaxel,ID50
8602,TBB2B_HUMAN,939,docetaxel,ID50
8545,TBB3_HUMAN,939,docetaxel,ID50
8773,TBB4A_HUMAN,939,docetaxel,ID50
16750,TBB4B_HUMAN,939,docetaxel,ID50
8867,TBB6_HUMAN,939,docetaxel,ID50
8860,TBB8_HUMAN,939,docetaxel,ID50
17974,KCNH2_HUMAN,942,dofetilide,Ki
570,DRD2_HUMAN,945,domperidone,Ki
15595,ACES_HUMAN,946,donepezil,Ki
15871,ADRB1_HUMAN,947,dopamine,Ki
13132,CAH2_HUMAN,949,dorzolamide,Ki
8449,SC6A4_HUMAN,951,dosulepin,Kd
8206,SC6A2_HUMAN,951,dosulepin,Kd
17645,KCNK3_HUMAN,953,doxapram,
17979,KCNK9_HUMAN,953,doxapram,
15934,ADA1A_HUMAN,954,doxazosin,Ki
15894,ADA1D_HUMAN,954,doxazosin,Ki
15686,ADA1B_HUMAN,954,doxazosin,Ki
8206,SC6A2_HUMAN,956,doxepin,Kd
5290,VDR_HUMAN,957,doxercalciferol,
9079,TOP2A_HUMAN,960,doxorubicin,IC50
