"id","protein_id","tissue","gender","tpm","tpm_rank","tpm_rank_bysex","tpm_level","tpm_level_bysex","tpm_f","tpm_m","log2foldchange","tau","tau_bysex","uberon_id","id","dtype","protein_id","nhprotein_id","name","did","evidence","zscore","conf","description","reference","drug_name","log2foldchange","pvalue","score","source","O2S","S2O","mondoid"
1582408,11193,Brain - Caudate (basal ganglia),F,2.923000,0.214,0.216,Low,Low,2.923000,3.023000,-0.036,0.806,0.781,UBERON:0002420,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582409,11193,Brain - Caudate (basal ganglia),M,3.023000,0.224,0.234,Low,Low,2.923000,3.023000,-0.036,0.806,0.782,UBERON:0002420,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582410,11193,Brain - Cerebellar Hemisphere,F,3.238000,0.245,0.235,Low,Low,3.238000,2.118000,0.443,0.806,0.781,UBERON:0002245,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582411,11193,Brain - Cerebellar Hemisphere,M,2.118000,0.122,0.149,Low,Low,3.238000,2.118000,0.443,0.806,0.782,UBERON:0002245,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582412,11193,Brain - Cerebellum,F,4.832000,0.327,0.314,Medium,Medium,4.832000,4.067000,0.203,0.806,0.781,UBERON:0002037,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582413,11193,Brain - Cerebellum,M,4.067000,0.316,0.340,Medium,Medium,4.832000,4.067000,0.203,0.806,0.782,UBERON:0002037,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582414,11193,Brain - Cortex,F,3.264000,0.255,0.255,Medium,Medium,3.264000,3.314000,-0.017,0.806,0.781,UBERON:0000956,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582415,11193,Brain - Cortex,M,3.314000,0.276,0.277,Medium,Medium,3.264000,3.314000,-0.017,0.806,0.782,UBERON:0000956,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582416,11193,Brain - Frontal Cortex (BA9),F,2.794000,0.173,0.157,Low,Low,2.794000,3.337000,-0.193,0.806,0.781,UBERON:0001870,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582417,11193,Brain - Frontal Cortex (BA9),M,3.337000,0.286,0.298,Medium,Medium,2.794000,3.337000,-0.193,0.806,0.782,UBERON:0001870,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582418,11193,Brain - Hippocampus,F,2.911000,0.204,0.196,Low,Low,2.911000,2.826000,0.032,0.806,0.781,UBERON:0022430,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582419,11193,Brain - Hippocampus,M,2.826000,0.194,0.213,Low,Low,2.911000,2.826000,0.032,0.806,0.782,UBERON:0022430,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582420,11193,Brain - Hypothalamus,F,2.182000,0.143,0.137,Low,Low,2.182000,2.274000,-0.041,0.806,0.781,UBERON:0001898,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582421,11193,Brain - Hypothalamus,M,2.274000,0.153,0.170,Low,Low,2.182000,2.274000,-0.041,0.806,0.782,UBERON:0001898,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582422,11193,Brain - Nucleus accumbens (basal ganglia),F,1.894000,0.082,0.078,Low,Low,1.894000,1.846000,0.024,0.806,0.781,UBERON:0001882,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582423,11193,Brain - Nucleus accumbens (basal ganglia),M,1.846000,0.061,0.085,Low,Low,1.894000,1.846000,0.024,0.806,0.782,UBERON:0001882,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582424,11193,Brain - Putamen (basal ganglia),F,3.812000,0.296,0.294,Medium,Medium,3.812000,4.024000,-0.062,0.806,0.781,UBERON:0001874,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582425,11193,Brain - Putamen (basal ganglia),M,4.024000,0.306,0.319,Medium,Medium,3.812000,4.024000,-0.062,0.806,0.782,UBERON:0001874,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582426,11193,Brain - Spinal cord (cervical c-1),F,3.272000,0.265,0.275,Medium,Medium,3.272000,3.122000,0.052,0.806,0.781,UBERON:0006469,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582427,11193,Brain - Spinal cord (cervical c-1),M,3.122000,0.235,0.255,Low,Medium,3.272000,3.122000,0.052,0.806,0.782,UBERON:0006469,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582428,11193,Brain - Substantia nigra,F,2.796000,0.184,0.176,Low,Low,2.796000,2.742000,0.021,0.806,0.781,UBERON:0002038,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582429,11193,Brain - Substantia nigra,M,2.742000,0.163,0.191,Low,Low,2.796000,2.742000,0.021,0.806,0.782,UBERON:0002038,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582430,11193,Breast - Mammary Tissue,F,58.695000,0.888,0.843,High,High,58.695000,37.955000,0.616,0.806,0.781,UBERON:0001911,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582431,11193,Breast - Mammary Tissue,M,37.955000,0.724,0.787,Medium,High,58.695000,37.955000,0.616,0.806,0.782,UBERON:0001911,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582432,11193,Cells - EBV-transformed lymphocytes,F,0.136000,0.041,0.039,Low,Low,0.136000,0.134000,0.003,0.806,0.781,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582433,11193,Cells - EBV-transformed lymphocytes,M,0.134000,0.031,0.043,Low,Low,0.136000,0.134000,0.003,0.806,0.782,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582434,11193,Cells - Transformed fibroblasts,F,73.565000,0.949,0.922,High,High,73.565000,69.535000,0.080,0.806,0.781,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582435,11193,Cells - Transformed fibroblasts,M,69.535000,0.939,0.979,High,High,73.565000,69.535000,0.080,0.806,0.782,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582436,11193,Cervix - Ectocervix,F,30.720000,0.633,0.588,Medium,Medium,,,,0.806,0.781,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582437,11193,Cervix - Endocervix,F,86.020000,0.969,0.961,High,High,,,,0.806,0.781,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582438,11193,Colon - Sigmoid,F,27.700000,0.612,0.549,Medium,Medium,27.700000,19.960000,0.453,0.806,0.781,UBERON:0001159,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582439,11193,Colon - Sigmoid,M,19.960000,0.571,0.660,Medium,Medium,27.700000,19.960000,0.453,0.806,0.782,UBERON:0001159,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582440,11193,Colon - Transverse,F,11.925000,0.439,0.392,Medium,Medium,11.925000,11.510000,0.047,0.806,0.781,UBERON:0001157,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582441,11193,Colon - Transverse,M,11.510000,0.408,0.468,Medium,Medium,11.925000,11.510000,0.047,0.806,0.782,UBERON:0001157,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582442,11193,Esophagus - Gastroesophageal Junction,F,55.240000,0.867,0.824,High,High,55.240000,45.085000,0.287,0.806,0.781,UBERON:0007650,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582443,11193,Esophagus - Gastroesophageal Junction,M,45.085000,0.786,0.809,High,High,55.240000,45.085000,0.287,0.806,0.782,UBERON:0007650,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582444,11193,Esophagus - Mucosa,F,11.970000,0.449,0.412,Medium,Medium,11.970000,10.840000,0.132,0.806,0.781,UBERON:0002469,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582445,11193,Esophagus - Mucosa,M,10.840000,0.398,0.447,Medium,Medium,11.970000,10.840000,0.132,0.806,0.782,UBERON:0002469,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582446,11193,Esophagus - Muscularis,F,42.450000,0.765,0.745,High,Medium,42.450000,36.575000,0.210,0.806,0.781,UBERON:0004648,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582447,11193,Esophagus - Muscularis,M,36.575000,0.714,0.766,Medium,High,42.450000,36.575000,0.210,0.806,0.782,UBERON:0004648,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582448,11193,Fallopian Tube,F,74.560000,0.959,0.941,High,High,,,,0.806,0.781,UBERON:0003889,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582449,11193,Heart - Atrial Appendage,F,52.570000,0.837,0.804,High,High,52.570000,47.855000,0.133,0.806,0.781,UBERON:0006618,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582450,11193,Heart - Atrial Appendage,M,47.855000,0.816,0.872,High,High,52.570000,47.855000,0.133,0.806,0.782,UBERON:0006618,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582451,11193,Heart - Left Ventricle,F,41.020000,0.755,0.725,High,Medium,41.020000,32.390000,0.332,0.806,0.781,UBERON:0002084,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582452,11193,Heart - Left Ventricle,M,32.390000,0.643,0.702,Medium,Medium,41.020000,32.390000,0.332,0.806,0.782,UBERON:0002084,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582453,11193,Kidney - Cortex,F,33.340000,0.663,0.627,Medium,Medium,33.340000,5.723000,2.353,0.806,0.781,UBERON:0001225,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582454,11193,Kidney - Cortex,M,5.723000,0.347,0.383,Medium,Medium,33.340000,5.723000,2.353,0.806,0.782,UBERON:0001225,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582455,11193,Liver,F,1.886000,0.071,0.059,Low,Low,1.886000,1.563000,0.171,0.806,0.781,UBERON:0002107,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582456,11193,Liver,M,1.563000,0.051,0.064,Low,Low,1.886000,1.563000,0.171,0.806,0.782,UBERON:0002107,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582457,11193,Lung,F,49.540000,0.827,0.784,High,High,49.540000,53.900000,-0.119,0.806,0.781,UBERON:0002048,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582458,11193,Lung,M,53.900000,0.847,0.894,High,High,49.540000,53.900000,-0.119,0.806,0.782,UBERON:0002048,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582459,11193,Minor Salivary Gland,F,21.445000,0.592,0.529,Medium,Medium,21.445000,23.305000,-0.115,0.806,0.781,UBERON:0001830,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582460,11193,Minor Salivary Gland,M,23.305000,0.602,0.681,Medium,Medium,21.445000,23.305000,-0.115,0.806,0.782,UBERON:0001830,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582461,11193,Muscle - Skeletal,F,15.650000,0.520,0.451,Medium,Medium,15.650000,15.135000,0.045,0.806,0.781,UBERON:0001134,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582462,11193,Muscle - Skeletal,M,15.135000,0.500,0.574,Medium,Medium,15.650000,15.135000,0.045,0.806,0.782,UBERON:0001134,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582463,11193,Nerve - Tibial,F,100.650000,0.990,0.980,High,High,100.650000,89.920000,0.161,0.806,0.781,UBERON:0001323,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582464,11193,Nerve - Tibial,M,89.920000,0.980,1.000,High,High,100.650000,89.920000,0.161,0.806,0.782,UBERON:0001323,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582465,11193,Ovary,F,126.100000,1.000,1.000,High,High,,,,0.806,0.781,UBERON:0000992,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582466,11193,Pancreas,F,6.384000,0.357,0.333,Medium,Medium,6.384000,5.714000,0.137,0.806,0.781,UBERON:0001264,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582467,11193,Pancreas,M,5.714000,0.337,0.362,Medium,Medium,6.384000,5.714000,0.137,0.806,0.782,UBERON:0001264,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582468,11193,Pituitary,F,7.456000,0.378,0.353,Medium,Medium,7.456000,6.588000,0.156,0.806,0.781,UBERON:0000007,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582469,11193,Pituitary,M,6.588000,0.367,0.404,Medium,Medium,7.456000,6.588000,0.156,0.806,0.782,UBERON:0000007,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582470,11193,Prostate,M,12.760000,0.469,0.532,Medium,Medium,,,,0.806,0.782,UBERON:0002367,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582471,11193,Skin - Not Sun Exposed (Suprapubic),F,21.360000,0.582,0.510,Medium,Medium,21.360000,12.270000,0.753,0.806,0.781,UBERON:0002097,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582472,11193,Skin - Not Sun Exposed (Suprapubic),M,12.270000,0.459,0.511,Medium,Medium,21.360000,12.270000,0.753,0.806,0.782,UBERON:0002097,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582473,11193,Skin - Sun Exposed (Lower leg),F,29.600000,0.622,0.569,Medium,Medium,29.600000,19.460000,0.581,0.806,0.781,UBERON:002097,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582474,11193,Skin - Sun Exposed (Lower leg),M,19.460000,0.561,0.638,Medium,Medium,29.600000,19.460000,0.581,0.806,0.782,UBERON:002097,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582475,11193,Small Intestine - Terminal Ileum,F,17.530000,0.541,0.490,Medium,Medium,17.530000,13.280000,0.376,0.806,0.781,UBERON:0002116,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582476,11193,Small Intestine - Terminal Ileum,M,13.280000,0.480,0.553,Medium,Medium,17.530000,13.280000,0.376,0.806,0.782,UBERON:0002116,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582477,11193,Spleen,F,11.565000,0.418,0.373,Medium,Medium,11.565000,7.627000,0.542,0.806,0.781,UBERON:0002106,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582478,11193,Spleen,M,7.627000,0.388,0.426,Medium,Medium,11.565000,7.627000,0.542,0.806,0.782,UBERON:0002106,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582479,11193,Stomach,F,16.560000,0.531,0.471,Medium,Medium,16.560000,15.275000,0.110,0.806,0.781,UBERON:0000945,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582480,11193,Stomach,M,15.275000,0.510,0.596,Medium,Medium,16.560000,15.275000,0.110,0.806,0.782,UBERON:0000945,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582481,11193,Testis,M,18.600000,0.551,0.617,Medium,Medium,,,,0.806,0.782,UBERON:0000473,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582482,11193,Thyroid,F,36.090000,0.704,0.667,Medium,Medium,36.090000,34.070000,0.081,0.806,0.781,UBERON:0002046,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582483,11193,Thyroid,M,34.070000,0.673,0.723,Medium,Medium,36.090000,34.070000,0.081,0.806,0.782,UBERON:0002046,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582484,11193,Uterus,F,40.860000,0.745,0.706,Medium,Medium,,,,0.806,0.781,UBERON:0000995,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582485,11193,Vagina,F,32.565000,0.653,0.608,Medium,Medium,,,,0.806,0.781,UBERON:0000996,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582486,11193,Whole Blood,F,0.125000,0.010,0.020,Low,Low,0.125000,0.132000,-0.009,0.806,0.781,UBERON:0000178,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
