"protein_id","protein_name","drug_id","drug_name","act_type","act_value"
1313,GBRA5_HUMAN,136,alprazolam,EC50,8.00000000
15871,ADRB1_HUMAN,137,alprenolol,Kd,9.67778111
15277,ADRB2_HUMAN,137,alprenolol,Kd,9.65757751
10528,PE2R1_HUMAN,138,alprostadil,EC50,6.80000000
9939,PE2R2_HUMAN,138,alprostadil,EC50,8.00000000
18529,OPRM_HUMAN,143,alvimopan,Ki,9.39790000
20078,NMDE4_HUMAN,144,amantadine,Ki,4.98000002
20030,NMD3B_HUMAN,144,amantadine,Ki,4.98000002
18793,NMDZ1_HUMAN,144,amantadine,Ki,4.98000002
18916,NMDE1_HUMAN,144,amantadine,Ki,4.98000002
18917,NMDE2_HUMAN,144,amantadine,Ki,4.98000002
20077,NMDE3_HUMAN,144,amantadine,Ki,4.98000002
18792,NMD3A_HUMAN,144,amantadine,Ki,4.98000002
15595,ACES_HUMAN,146,ambenonium,,
17591,GLCM_HUMAN,147,ambroxol,IC50,5.39000000
1184,GCR_HUMAN,150,amcinonide,,
4107,SCNNA_HUMAN,158,amiloride,IC50,6.70000000
8212,SCNNB_HUMAN,158,amiloride,IC50,6.70000000
4109,SCNNG_HUMAN,158,amiloride,IC50,6.70000000
10142,PLMN_HUMAN,163,aminocaproic acid,IC50,4.40000000
7562,TPA_HUMAN,163,aminocaproic acid,,
13532,CP19A_HUMAN,164,aminoglutethimide,IC50,5.11000000
393,CP11A_HUMAN,164,aminoglutethimide,,
17974,KCNH2_HUMAN,176,amiodarone,IC50,5.00000000
8449,SC6A4_HUMAN,180,amitriptyline,Kd,8.36650000
8206,SC6A2_HUMAN,180,amitriptyline,Kd,7.45590000
10540,PDE4A_HUMAN,182,amlexanox,,
10541,PDE4B_HUMAN,182,amlexanox,,
10463,PDE4C_HUMAN,182,amlexanox,,
10402,PDE4D_HUMAN,182,amlexanox,,
13073,CAC1C_HUMAN,183,amlodipine,,
13223,CAC1D_HUMAN,183,amlodipine,Ki,7.00000000
8449,SC6A4_HUMAN,191,amoxapine,IC50,7.46852108
8206,SC6A2_HUMAN,191,amoxapine,Ki,7.88605665
8206,SC6A2_HUMAN,195,amfetamine,,
8358,SC6A3_HUMAN,195,amfetamine,Ki,6.93554211
10461,PDE3A_HUMAN,201,amrinone,IC50,4.78000000
10461,PDE3A_HUMAN,209,anagrelide,IC50,7.27000000
13532,CP19A_HUMAN,210,anastrozole,IC50,6.22180000
18529,OPRM_HUMAN,220,anileridine,,
14293,VKGC_HUMAN,222,anisindione,,
15806,ACM1_HUMAN,223,octatropine methylbromide,,
15325,ACM3_HUMAN,223,octatropine methylbromide,,
6721,HRH1_HUMAN,224,antazoline,,
570,DRD2_HUMAN,228,apomorphine,Ki,9.21000000
15848,ADA2A_HUMAN,229,apraclonidine,Ki,8.54000000
15387,ADA2C_HUMAN,229,apraclonidine,Ki,7.52000000
15360,ADA2B_HUMAN,229,apraclonidine,Ki,7.93839359
19114,NK1R_HUMAN,230,aprepitant,Ki,10.70000000
13223,CAC1D_HUMAN,234,aranidipine,,
13073,CAC1C_HUMAN,234,aranidipine,,
16701,THRB_HUMAN,239,argatroban,Ki,7.39794000
570,DRD2_HUMAN,242,aripiprazole,Ki,8.71000000
15543,"5HT2A_HUMAN",242,aripiprazole,Ki,7.90000000
7574,TRXR1_HUMAN,244,arsenic trioxide,,
15871,ADRB1_HUMAN,255,atenolol,Ki,7.30000000
8206,SC6A2_HUMAN,256,atomoxetine,Kd,8.69000000
6025,HMDH_HUMAN,257,atorvastatin,IC50,8.00000000
15345,ACHA_HUMAN,259,atracurium,IC50,7.76960000
15678,ACHB_HUMAN,259,atracurium,IC50,7.76960000
15266,ACHD_HUMAN,259,atracurium,IC50,7.76960000
15806,ACM1_HUMAN,260,atropine,Ki,9.31000000
15379,ACM2_HUMAN,260,atropine,Ki,8.97000000
15325,ACM3_HUMAN,260,atropine,Ki,9.50000000
6721,HRH1_HUMAN,268,azatadine,,
6721,HRH1_HUMAN,271,azelastine,Ki,8.16750000
13223,CAC1D_HUMAN,272,azelnidipine,,
13073,CAC1C_HUMAN,272,azelnidipine,,
18136,GABR2_HUMAN,282,baclofen,IC50,7.46000000
18165,GABR1_HUMAN,282,baclofen,IC50,7.46000000
10808,PGH2_HUMAN,284,balsalazide,,
10479,PGH1_HUMAN,284,balsalazide,,
11868,LOX5_HUMAN,284,balsalazide,,
19023,PPARG_HUMAN,284,balsalazide,,
6721,HRH1_HUMAN,288,bamipine,,
13223,CAC1D_HUMAN,290,barnidipine,,
13073,CAC1C_HUMAN,290,barnidipine,,
1184,GCR_HUMAN,294,beclometasone dipropionate,Ki,8.42712840
15580,ACE_HUMAN,299,benazepril,IC50,6.51000000
8380,S12A3_HUMAN,305,bendroflumethiazide,A2,8.30000000
11868,LOX5_HUMAN,311,benoxaprofen,,
15806,ACM1_HUMAN,313,diphenidol,Ki,7.10790540
8206,SC6A2_HUMAN,329,benzphetamine,,
14338,VMAT2_HUMAN,329,benzphetamine,,
570,DRD2_HUMAN,331,benzquinamide,Ki,5.40000000
8380,S12A3_HUMAN,332,benzthiazide,A2,8.17000000
15806,ACM1_HUMAN,333,benzatropine,Ki,9.63640000
6721,HRH1_HUMAN,341,bepotastine,,
2223,CAC1H_HUMAN,342,bepridil,Ki,5.14870000
1184,GCR_HUMAN,348,betamethasone,IC50,8.07000000
1184,GCR_HUMAN,349,betamethasone acetate,,
1184,GCR_HUMAN,351,betamethasone benzoate,,
1184,GCR_HUMAN,353,betamethasone dipropionate,,
1184,GCR_HUMAN,354,betamethasone valerate,,
15871,ADRB1_HUMAN,356,betaxolol,Kd,8.80000000
6097,HRH2_HUMAN,357,betazole,,
15379,ACM2_HUMAN,358,bethanechol,Ki,4.00000000
15325,ACM3_HUMAN,358,bethanechol,Ki,4.20000000
8206,SC6A2_HUMAN,359,betanidine,,
8172,RXRA_HUMAN,361,bexarotene,Kd,7.85000000
4571,RXRB_HUMAN,361,bexarotene,Ki,8.23000000
4230,RXRG_HUMAN,361,bexarotene,Ki,8.08000000
18844,PPARA_HUMAN,362,bezafibrate,EC50,4.30000000
15965,ANDR_HUMAN,367,bicalutamide,Ki,7.72000000
10566,PF2R_HUMAN,371,bimatoprost,Ki,5.30000000
15806,ACM1_HUMAN,374,biperiden,Kd,9.32000000
15871,ADRB1_HUMAN,380,bisoprolol,Ki,7.65000000
6721,HRH1_HUMAN,383,bisulepine,,
15277,ADRB2_HUMAN,384,bitolterol,,
16701,THRB_HUMAN,385,bivalirudin,Ki,8.60000000
3781,PSA1_HUMAN,391,bortezomib,Ki,9.20760000
3803,PSB8_HUMAN,391,bortezomib,IC50,8.09000000
3801,PSB1_HUMAN,391,bortezomib,IC50,7.28000000
3565,PSB2_HUMAN,391,bortezomib,IC50,6.23000000
3548,PSB5_HUMAN,391,bortezomib,Ki,9.26000000
17480,EDNRA_HUMAN,392,bosentan,Ki,8.19000000
17481,EDNRB_HUMAN,392,bosentan,Ki,7.10000000
8206,SC6A2_HUMAN,394,bretylium,,
15848,ADA2A_HUMAN,395,brimonidine,EC50,8.38720000
15360,ADA2B_HUMAN,395,brimonidine,EC50,7.25960000
15387,ADA2C_HUMAN,395,brimonidine,EC50,8.46850000
13132,CAH2_HUMAN,396,brinzolamide,Ki,9.90000000
10808,PGH2_HUMAN,401,bromfenac,IC50,8.40000000
10479,PGH1_HUMAN,401,bromfenac,IC50,8.29000000
570,DRD2_HUMAN,403,bromocriptine,Ki,9.70000000
6721,HRH1_HUMAN,404,bromazine,Ki,8.88610000
570,DRD2_HUMAN,407,bromperidol,Ki,8.43000000
6721,HRH1_HUMAN,408,brompheniramine,Ki,8.21752739
6721,HRH1_HUMAN,416,buclizine,,
1184,GCR_HUMAN,419,budesonide,EC50,10.30000000
4556,S12A1_HUMAN,427,bumetanide,Ki,7.60000000
15934,ADA1A_HUMAN,429,bunazosin,,
15686,ADA1B_HUMAN,429,bunazosin,,
15871,ADRB1_HUMAN,431,levobunolol,Ki,8.39902710
15277,ADRB2_HUMAN,431,levobunolol,Ki,9.26280736
8479,SCN4A_HUMAN,432,bupivacaine,IC50,6.00000000
15871,ADRB1_HUMAN,433,bupranolol,Ki,9.00000000
15277,ADRB2_HUMAN,433,bupranolol,Ki,9.10000000
18529,OPRM_HUMAN,434,buprenorphine,Ki,8.29000000
18386,OPRK_HUMAN,434,buprenorphine,Ki,9.01000000
8358,SC6A3_HUMAN,435,bupropion,Kd,6.28000000
8206,SC6A2_HUMAN,435,bupropion,Ki,5.16000000
18039,GNRHR_HUMAN,436,buserelin,EC50,10.52000000
16194,"5HT1A_HUMAN",437,buspirone,EC50,7.25000000
1031,GBRA1_HUMAN,439,secbutabarbital,,
1283,GBRG2_HUMAN,439,secbutabarbital,,
2778,GBRB2_HUMAN,439,secbutabarbital,,
1031,GBRA1_HUMAN,441,butalbital,,
1283,GBRG2_HUMAN,441,butalbital,,
1316,GBRB3_HUMAN,441,butalbital,,
18529,OPRM_HUMAN,454,butorphanol,Ki,9.92000000
18386,OPRK_HUMAN,454,butorphanol,Ki,9.92000000
570,DRD2_HUMAN,460,cabergoline,Ki,9.20000000
15560,AA2BR_HUMAN,463,caffeine,Ki,4.77000000
15544,AA2AR_HUMAN,463,caffeine,Ki,5.61000000
16170,AA1R_HUMAN,463,caffeine,Ki,4.97000000
5290,VDR_HUMAN,464,calcifediol,,
5290,VDR_HUMAN,465,calcipotriene,Kd,9.51000000
5290,VDR_HUMAN,466,calcitriol,EC50,8.40000000
9592,TRY1_HUMAN,471,camostat,IC50,7.30000000
15898,AGTR1_HUMAN,475,candesartan cilexetil,IC50,9.16000000
5444,TYSY_HUMAN,480,capecitabine,,
15580,ACE_HUMAN,484,captopril,Ki,8.70000000
15325,ACM3_HUMAN,488,carbachol,EC50,8.69900000
8363,SCN5A_HUMAN,489,carbamazepine,,
8479,SCN4A_HUMAN,489,carbamazepine,Ki,4.28000000
8459,SCN9A_HUMAN,489,carbamazepine,IC50,4.66000000
2737,DHI1_HUMAN,493,carbenoxolone,IC50,7.08000000
3196,DDC_HUMAN,496,carbidopa,,
6721,HRH1_HUMAN,499,carbinoxamine,,
10566,PF2R_HUMAN,502,carboprost,,
17968,GSHR_HUMAN,512,carmustine,IC50,5.09000000
15543,"5HT2A_HUMAN",516,carfenazine,,
570,DRD2_HUMAN,516,carfenazine,,
10808,PGH2_HUMAN,518,carprofen,IC50,7.00000000
15871,ADRB1_HUMAN,520,carteolol,Ki,9.30000000
15277,ADRB2_HUMAN,520,carteolol,Ki,9.20000000
15871,ADRB1_HUMAN,522,carvedilol,Ki,9.50000000
15277,ADRB2_HUMAN,522,carvedilol,Ki,9.90000000
10808,PGH2_HUMAN,568,celecoxib,IC50,7.24000000
6025,HMDH_HUMAN,577,cerivastatin,IC50,8.00000000
2262,CCKAR_HUMAN,579,ceruletide,,
6721,HRH1_HUMAN,581,cetirizine,Ki,7.91000000
18039,GNRHR_HUMAN,583,cetrorelix,Ki,8.80000000
15806,ACM1_HUMAN,584,cevimeline,EC50,7.63830000
15325,ACM3_HUMAN,584,cevimeline,EC50,7.31880000
1031,GBRA1_HUMAN,594,chlordiazepoxide,Ki,6.25180000
1283,GBRG2_HUMAN,594,chlordiazepoxide,Ki,6.25180000
2778,GBRB2_HUMAN,594,chlordiazepoxide,Ki,6.25180000
1283,GBRG2_HUMAN,594,chlordiazepoxide,Ki,6.33720000
1316,GBRB3_HUMAN,594,chlordiazepoxide,Ki,6.33720000
2748,GBRA2_HUMAN,594,chlordiazepoxide,Ki,6.33720000
1283,GBRG2_HUMAN,594,chlordiazepoxide,Ki,6.56070000
1316,GBRB3_HUMAN,594,chlordiazepoxide,Ki,6.56070000
1309,GBRA3_HUMAN,594,chlordiazepoxide,Ki,6.56070000
1283,GBRG2_HUMAN,594,chlordiazepoxide,Ki,6.49490000
1316,GBRB3_HUMAN,594,chlordiazepoxide,Ki,6.49490000
1313,GBRA5_HUMAN,594,chlordiazepoxide,Ki,6.49490000
8364,SCNAA_HUMAN,605,chloroprocaine,,
8380,S12A3_HUMAN,609,chlorothiazide,A2,5.43000000
1652,ESR2_HUMAN,610,chlorotrianisene,,
6721,HRH1_HUMAN,616,chlorphenamine,Ki,8.15000000
8449,SC6A4_HUMAN,618,chlorphentermine,Ki,6.47110000
570,DRD2_HUMAN,621,chlorpromazine,Ki,8.15000000
570,DRD2_HUMAN,623,chlorprothixene,Ki,8.53000000
8380,S12A3_HUMAN,625,chlortalidone,,
1184,GCR_HUMAN,633,ciclesonide,Ki,7.43000000
530,DPEP1_HUMAN,640,cilastatin,Ki,6.95860000
10461,PDE3A_HUMAN,644,cilostazol,IC50,6.70000000
6097,HRH2_HUMAN,645,cimetidine,Kd,6.14000000
13097,CASR_HUMAN,647,cinacalcet,EC50,7.70000000
15369,"5HT4R_HUMAN",660,cisapride,Ki,7.54000000
15345,ACHA_HUMAN,661,cisatracurium,IC50,8.00000000
15678,ACHB_HUMAN,661,cisatracurium,IC50,8.00000000
15266,ACHD_HUMAN,661,cisatracurium,IC50,8.00000000
8449,SC6A4_HUMAN,663,citalopram,Kd,8.93550000
6721,HRH1_HUMAN,671,clemastine,Ki,8.58500000
13073,CAC1C_HUMAN,674,clevidipine,,
13223,CAC1D_HUMAN,674,clevidipine,,
15806,ACM1_HUMAN,676,clidinium,,
15325,ACM3_HUMAN,676,clidinium,Ki,9.60000000
1031,GBRA1_HUMAN,682,clobazam,,
1283,GBRG2_HUMAN,682,clobazam,,
2778,GBRB2_HUMAN,682,clobazam,,
1278,DPOLA_HUMAN,691,clofarabine,,
10260,RIR1_HUMAN,691,clofarabine,IC50,8.30000000
11173,RIR2_HUMAN,691,clofarabine,IC50,8.30000000
18844,PPARA_HUMAN,694,clofibrate,IC50,4.25000000
767,ESR1_HUMAN,700,clomifene,Ki,8.88605665
8206,SC6A2_HUMAN,701,clomipramine,Kd,7.42020000
8449,SC6A4_HUMAN,701,clomipramine,Ki,9.70335674
1031,GBRA1_HUMAN,703,clonazepam,Ki,8.07060000
1283,GBRG2_HUMAN,703,clonazepam,Ki,8.07060000
2778,GBRB2_HUMAN,703,clonazepam,Ki,8.07060000
15387,ADA2C_HUMAN,704,clonidine,EC50,6.70000000
15848,ADA2A_HUMAN,704,clonidine,Ki,8.42000000
15360,ADA2B_HUMAN,704,clonidine,Ki,7.50000000
18310,P2Y12_HUMAN,708,clopidogrel,Ki,6.90000000
1031,GBRA1_HUMAN,711,clorazepate,EC50,7.47000000
1283,GBRG2_HUMAN,711,clorazepate,EC50,7.47000000
2778,GBRB2_HUMAN,711,clorazepate,EC50,7.47000000
1283,GBRG2_HUMAN,711,clorazepate,,
1316,GBRB3_HUMAN,711,clorazepate,,
2748,GBRA2_HUMAN,711,clorazepate,,
1309,GBRA3_HUMAN,711,clorazepate,,
1313,GBRA5_HUMAN,711,clorazepate,,
570,DRD2_HUMAN,722,clozapine,Ki,6.86000000
15543,"5HT2A_HUMAN",722,clozapine,Ki,8.30000000
8358,SC6A3_HUMAN,723,cocaine,Ki,7.50000000
18529,OPRM_HUMAN,725,codeine,Ki,6.14000000
5334,V1AR_HUMAN,732,conivaptan,Ki,9.37000000
14151,V2R_HUMAN,732,conivaptan,Ki,9.44000000
1184,GCR_HUMAN,734,cortisone acetate,Kd,6.02000000
1184,GCR_HUMAN,736,cortivazol,,
6721,HRH1_HUMAN,749,cyclizine,Ki,8.35261703
15543,"5HT2A_HUMAN",751,cyclobenzaprine,Ki,7.54090000
15325,ACM3_HUMAN,757,cyclopentolate,,
19100,PPIA_HUMAN,760,ciclosporin,IC50,8.04580000
8380,S12A3_HUMAN,761,cyclothiazide,,
15806,ACM1_HUMAN,763,cycrimine,,
6721,HRH1_HUMAN,765,cyproheptadine,Ki,10.22180000
15965,ANDR_HUMAN,766,cyproterone acetate,IC50,7.43200000
1278,DPOLA_HUMAN,770,cytarabine,,
14103,DPOD1_HUMAN,770,cytarabine,,
691,DPOE1_HUMAN,770,cytarabine,,
16701,THRB_HUMAN,776,dabigatran etexilate,Ki,8.35000000
15965,ANDR_HUMAN,779,danazol,,
9980,PRGR_HUMAN,779,danazol,,
4061,RYR1_HUMAN,780,dantrolene,Ki,6.75700000
4159,RYR3_HUMAN,780,dantrolene,,
15934,ADA1A_HUMAN,781,dapiprazole,,
15894,ADA1D_HUMAN,781,dapiprazole,Ki,8.38827669
15325,ACM3_HUMAN,784,darifenacin,Kd,9.52000000
10475,PGFRB_HUMAN,785,dasatinib,Kd,9.20000000
17769,KIT_HUMAN,785,dasatinib,Kd,9.24000000
4422,SRC_HUMAN,785,dasatinib,Kd,9.68000000
12122,LCK_HUMAN,785,dasatinib,Kd,9.70000000
5367,YES_HUMAN,785,dasatinib,Kd,9.52000000
5845,FYN_HUMAN,785,dasatinib,Kd,9.10000000
717,EPHA2_HUMAN,785,dasatinib,Kd,9.07000000
15608,ABL1_HUMAN,785,dasatinib,IC50,9.60000000
9079,TOP2A_HUMAN,786,daunorubicin,,
15345,ACHA_HUMAN,789,decamethonium,,
15307,ACHG_HUMAN,789,decamethonium,,
15678,ACHB_HUMAN,789,decamethonium,,
15596,ACHE_HUMAN,789,decamethonium,,
15266,ACHD_HUMAN,789,decamethonium,,
495,DNMT1_HUMAN,790,decitabine,IC50,7.52000000
491,DNM3A_HUMAN,790,decitabine,,
15595,ACES_HUMAN,801,demecarium,,
14338,VMAT2_HUMAN,810,deserpidine,,
1320,GBRP_HUMAN,811,desflurane,,
1035,GBRD_HUMAN,811,desflurane,,
1031,GBRA1_HUMAN,811,desflurane,,
1315,GBRB1_HUMAN,811,desflurane,,
1283,GBRG2_HUMAN,811,desflurane,,
1316,GBRB3_HUMAN,811,desflurane,,
1313,GBRA5_HUMAN,811,desflurane,,
1309,GBRA3_HUMAN,811,desflurane,,
2748,GBRA2_HUMAN,811,desflurane,,
2778,GBRB2_HUMAN,811,desflurane,,
1311,GBRA4_HUMAN,811,desflurane,,
1365,GBRE_HUMAN,811,desflurane,,
2776,GBRA6_HUMAN,811,desflurane,,
1282,GBRG1_HUMAN,811,desflurane,,
1036,GBRG3_HUMAN,811,desflurane,,
1323,GBRT_HUMAN,811,desflurane,,
17644,KCNK2_HUMAN,811,desflurane,,
17645,KCNK3_HUMAN,811,desflurane,,
17979,KCNK9_HUMAN,811,desflurane,,
17980,KCNKA_HUMAN,811,desflurane,,
17676,KCNKI_HUMAN,811,desflurane,,
17827,GLRA1_HUMAN,811,desflurane,,
18066,GLRB_HUMAN,811,desflurane,,
8206,SC6A2_HUMAN,812,desipramine,Kd,9.08090000
13813,AT1A1_HUMAN,813,deslanoside,,
17103,AT1B1_HUMAN,813,deslanoside,,
17101,AT1A3_HUMAN,813,deslanoside,,
16889,AT1B2_HUMAN,813,deslanoside,,
16891,AT1A2_HUMAN,813,deslanoside,,
17008,AT1B3_HUMAN,813,deslanoside,,
16863,ATNG_HUMAN,813,deslanoside,,
13820,AT1A4_HUMAN,813,deslanoside,,
6721,HRH1_HUMAN,814,desloratadine,Ki,9.40000000
9980,PRGR_HUMAN,818,desogestrel,,
1184,GCR_HUMAN,819,desoximetasone,Ki,8.93181414
11754,MCR_HUMAN,820,desoxycortone,IC50,11.00000000
11754,MCR_HUMAN,821,desoxycorticosterone acetate,,
11754,MCR_HUMAN,822,desoxycorticosterone pivalate,EC50,11.00000000
1184,GCR_HUMAN,824,dexamethasone,EC50,8.88000000
1184,GCR_HUMAN,826,dexamethasone acetate,,
6721,HRH1_HUMAN,830,dexbrompheniramine,,
15379,ACM2_HUMAN,831,dexetimide,Ki,8.90000000
10808,PGH2_HUMAN,833,dexketoprofen,IC50,7.57000000
10479,PGH1_HUMAN,833,dexketoprofen,IC50,8.72000000
15848,ADA2A_HUMAN,835,dexmedetomidine,EC50,8.82000000
15360,ADA2B_HUMAN,835,dexmedetomidine,Ki,9.70000000
15387,ADA2C_HUMAN,835,dexmedetomidine,Ki,9.30000000
8206,SC6A2_HUMAN,836,dexmethylphenidate,,
8358,SC6A3_HUMAN,836,dexmethylphenidate,Ki,7.80000000
8358,SC6A3_HUMAN,841,dexamfetamine,Ki,6.68000000
14338,VMAT2_HUMAN,841,dexamfetamine,,
8206,SC6A2_HUMAN,841,dexamfetamine,Ki,7.00000000
18529,OPRM_HUMAN,844,dextropropoxyphene,,
9133,THA_HUMAN,846,dextrothyroxine,,
16629,THB_HUMAN,846,dextrothyroxine,,
18386,OPRK_HUMAN,847,dezocine,,
18529,OPRM_HUMAN,847,dezocine,EC50,7.42000000
1031,GBRA1_HUMAN,852,diazepam,EC50,7.14270000
1283,GBRG2_HUMAN,852,diazepam,EC50,7.14270000
2778,GBRB2_HUMAN,852,diazepam,EC50,7.14270000
1283,GBRG2_HUMAN,852,diazepam,Ki,7.69900000
1316,GBRB3_HUMAN,852,diazepam,Ki,7.69900000
2748,GBRA2_HUMAN,852,diazepam,Ki,7.69900000
1283,GBRG2_HUMAN,852,diazepam,Ki,7.65000000
1316,GBRB3_HUMAN,852,diazepam,Ki,7.65000000
1309,GBRA3_HUMAN,852,diazepam,Ki,7.65000000
1283,GBRG2_HUMAN,852,diazepam,Ki,7.95860000
1316,GBRB3_HUMAN,852,diazepam,Ki,7.95860000
1313,GBRA5_HUMAN,852,diazepam,Ki,7.95860000
1031,GBRA1_HUMAN,852,diazepam,Ki,6.70550000
2778,GBRB2_HUMAN,852,diazepam,Ki,6.70550000
1036,GBRG3_HUMAN,852,diazepam,Ki,6.70550000
1031,GBRA1_HUMAN,852,diazepam,Ki,7.85390000
1283,GBRG2_HUMAN,852,diazepam,Ki,7.85390000
1316,GBRB3_HUMAN,852,diazepam,Ki,7.85390000
1283,GBRG2_HUMAN,852,diazepam,Ki,7.93930000
1309,GBRA3_HUMAN,852,diazepam,Ki,7.93930000
2778,GBRB2_HUMAN,852,diazepam,Ki,7.93930000
1309,GBRA3_HUMAN,852,diazepam,Ki,6.66550000
2778,GBRB2_HUMAN,852,diazepam,Ki,6.66550000
1036,GBRG3_HUMAN,852,diazepam,Ki,6.66550000
1316,GBRB3_HUMAN,852,diazepam,Ki,7.20340000
1313,GBRA5_HUMAN,852,diazepam,Ki,7.20340000
1036,GBRG3_HUMAN,852,diazepam,Ki,7.20340000
1283,GBRG2_HUMAN,852,diazepam,Ki,8.00440000
