,drug_name,related_drug_name,drugbank_id,related_drugbank_id
100,Tacrine,Mepenzolate,DB00382,DB04843
101,Tacrine,Fesoterodine,DB00382,DB06702
102,Tacrine,Dimetindene,DB00382,DB08801
103,Tacrine,Agmatine,DB00382,DB08838
104,Tacrine,Umeclidinium,DB00382,DB09076
105,Tacrine,Phenobarbital,DB00382,DB01174
106,Tacrine,Nortriptyline,DB00382,DB00540
107,Tacrine,Desipramine,DB00382,DB01151
108,Tacrine,Secobarbital,DB00382,DB00418
109,Tacrine,Esmolol,DB00382,DB00187
110,Tacrine,Atenolol,DB00382,DB00335
111,Tacrine,Sotalol,DB00382,DB00489
112,Tacrine,Labetalol,DB00382,DB00598
113,Tacrine,Alprenolol,DB00382,DB00866
114,Tacrine,Pindolol,DB00382,DB00960
115,Tacrine,Bevantolol,DB00382,DB01295
116,Tacrine,Practolol,DB00382,DB01297
117,Tacrine,Penbutolol,DB00382,DB01359
118,Tacrine,Oxprenolol,DB00382,DB01580
119,Tacrine,Nebivolol,DB00382,DB04861
120,Tacrine,Bufuralol,DB00382,DB06726
121,Tacrine,Bopindolol,DB00382,DB08807
122,Tacrine,Bupranolol,DB00382,DB08808
123,Tacrine,Metoprolol,DB00382,DB00264
124,Tacrine,Timolol,DB00382,DB00373
125,Tacrine,Bisoprolol,DB00382,DB00612
126,Tacrine,Acebutolol,DB00382,DB01193
127,Tacrine,Nadolol,DB00382,DB01203
128,Tacrine,Celiprolol,DB00382,DB04846
129,Tacrine,Cevimeline,DB00382,DB00185
130,Tacrine,Carbamoylcholine,DB00382,DB00411
131,Tacrine,Bethanechol,DB00382,DB01019
132,Tacrine,Pilocarpine,DB00382,DB01085
133,Tacrine,Varenicline,DB00382,DB01273
134,Tacrine,Acetylcholine,DB00382,DB03128
135,Tacrine,Arecoline,DB00382,DB04365
136,Tacrine,Lobeline,DB00382,DB05137
137,Tacrine,NGX267,DB00382,DB05152
138,Tacrine,Methacholine,DB00382,DB06709
139,Tacrine,Epibatidine,DB00382,DB07720
140,Tacrine,Nicotine,DB00382,DB00184
141,Tacrine,Carbamazepine,DB00382,DB00564
142,Tacrine,Primidone,DB00382,DB00794
143,Tacrine,Rifampicin,DB00382,DB01045
144,Tacrine,Albendazole,DB00382,DB00518
145,Tacrine,Imipramine,DB00382,DB00458
146,Tacrine,Caffeine,DB00382,DB00201
147,Tacrine,Moxifloxacin,DB00382,DB00218
148,Tacrine,Mexiletine,DB00382,DB00379
149,Tacrine,Alosetron,DB00382,DB00969
150,Tacrine,Gatifloxacin,DB00382,DB01044
151,Tacrine,Lidocaine,DB00382,DB00281
152,Tacrine,Ketoconazole,DB00382,DB01026
153,Tacrine,Simeprevir,DB00382,DB06290
154,Tacrine,Flunisolide,DB00382,DB00180
155,Tacrine,Fluocinolone acetonide,DB00382,DB00591
156,Tacrine,Fludrocortisone,DB00382,DB00687
157,Tacrine,Trilostane,DB00382,DB01108
158,Tacrine,Corticotropin,DB00382,DB01285
159,Tacrine,Cortisone acetate,DB00382,DB01380
160,Tacrine,Paramethasone,DB00382,DB01384
161,Tacrine,Ciclesonide,DB00382,DB01410
162,Tacrine,Deflazacort,DB00382,DB11921
163,Tacrine,Betamethasone,DB00382,DB00443
164,Tacrine,Triamcinolone,DB00382,DB00620
165,Tacrine,Beclomethasone dipropionate,DB00382,DB00394
166,Tacrine,Fluticasone propionate,DB00382,DB00588
167,Tacrine,Prednisone,DB00382,DB00635
168,Tacrine,Hydrocortisone,DB00382,DB00741
169,Tacrine,Prednisolone,DB00382,DB00860
170,Tacrine,Methylprednisolone,DB00382,DB00959
171,Tacrine,Budesonide,DB00382,DB01222
172,Tacrine,Dexamethasone,DB00382,DB01234
173,Tacrine,Aldosterone,DB00382,DB04630
174,Tacrine,Fluticasone furoate,DB00382,DB08906
175,Tacrine,Clobetasol propionate,DB00382,DB01013
176,Tacrine,Fluocinonide,DB00382,DB01047
177,Tacrine,Desoximetasone,DB00382,DB00547
178,Tacrine,Mometasone,DB00382,DB00764
179,Tacrine,Fluorometholone,DB00382,DB00324
180,Tacrine,Flumethasone,DB00382,DB00663
181,Tacrine,Metocurine iodide,DB00382,DB00416
182,Tacrine,Gallamine triethiodide,DB00382,DB00483
183,Tacrine,Cisatracurium,DB00382,DB00565
184,Tacrine,Rocuronium,DB00382,DB00728
185,Tacrine,Atracurium besylate,DB00382,DB00732
186,Tacrine,Mivacurium,DB00382,DB01226
187,Tacrine,Metocurine,DB00382,DB01336
188,Tacrine,Pancuronium,DB00382,DB01337
189,Tacrine,Pipecuronium,DB00382,DB01338
190,Tacrine,Vecuronium,DB00382,DB01339
191,Tacrine,Osimertinib,DB00382,DB09330
192,Tacrine,Vemurafenib,DB00382,DB08881
193,Tacrine,Leuprolide,DB00382,DB00007
194,Tacrine,Somatotropin,DB00382,DB00052
195,Tacrine,Pravastatin,DB00382,DB00175
196,Tacrine,Baclofen,DB00382,DB00181
197,Tacrine,Sildenafil,DB00382,DB00203
198,Tacrine,Cladribine,DB00382,DB00242
199,Tacrine,Phenytoin,DB00382,DB00252
200,Tacrine,Pamidronic acid,DB00382,DB00282
201,Tacrine,Carbimazole,DB00382,DB00389
202,Tacrine,Cerivastatin,DB00382,DB00439
203,Tacrine,Montelukast,DB00382,DB00471
204,Tacrine,Zidovudine,DB00382,DB00495
205,Tacrine,Lercanidipine,DB00382,DB00528
206,Tacrine,Propylthiouracil,DB00382,DB00550
207,Tacrine,Methotrexate,DB00382,DB00563
208,Tacrine,Enalapril,DB00382,DB00584
209,Tacrine,Nizatidine,DB00382,DB00585
210,Tacrine,Niacin,DB00382,DB00627
211,Tacrine,Alendronic acid,DB00382,DB00630
212,Tacrine,Clofibrate,DB00382,DB00636
213,Tacrine,Simvastatin,DB00382,DB00641
214,Tacrine,Stavudine,DB00382,DB00649
215,Tacrine,Nafarelin,DB00382,DB00666
216,Tacrine,Mycophenolate mofetil,DB00382,DB00688
217,Tacrine,Naltrexone,DB00382,DB00704
218,Tacrine,Lamivudine,DB00382,DB00709
219,Tacrine,Ibandronate,DB00382,DB00710
220,Tacrine,Terbinafine,DB00382,DB00857
221,Tacrine,Penicillamine,DB00382,DB00859
222,Tacrine,Eprosartan,DB00382,DB00876
223,Tacrine,Risedronic acid,DB00382,DB00884
224,Tacrine,Bumetanide,DB00382,DB00887
225,Tacrine,Triazolam,DB00382,DB00897
226,Tacrine,Ethanol,DB00382,DB00898
227,Tacrine,Salmeterol,DB00382,DB00938
228,Tacrine,Isoniazid,DB00382,DB00951
229,Tacrine,Methyldopa,DB00382,DB00968
230,Tacrine,Isotretinoin,DB00382,DB00982
231,Tacrine,Cytarabine,DB00382,DB00987
232,Tacrine,Ganciclovir,DB00382,DB01004
233,Tacrine,Letrozole,DB00382,DB01006
234,Tacrine,Sulfamethoxazole,DB00382,DB01015
235,Tacrine,Minocycline,DB00382,DB01017
236,Tacrine,Procainamide,DB00382,DB01035
237,Tacrine,Norfloxacin,DB00382,DB01059
238,Tacrine,Iloprost,DB00382,DB01088
239,Tacrine,Fluvastatin,DB00382,DB01095
240,Tacrine,Rosuvastatin,DB00382,DB01098
241,Tacrine,Ofloxacin,DB00382,DB01165
242,Tacrine,Procarbazine,DB00382,DB01168
243,Tacrine,Metoclopramide,DB00382,DB01233
244,Tacrine,Gemfibrozil,DB00382,DB01241
245,Tacrine,Docetaxel,DB00382,DB01248
246,Tacrine,Bezafibrate,DB00382,DB01393
247,Tacrine,Fusidic acid,DB00382,DB02703
248,Tacrine,Trabectedin,DB00382,DB05109
249,Tacrine,Mevastatin,DB00382,DB06693
250,Tacrine,Raltegravir,DB00382,DB06817
251,Tacrine,Pitavastatin,DB00382,DB08860
252,Tacrine,Cimetidine,DB00382,DB00501
253,Tacrine,Cyclosporine,DB00382,DB00091
254,Tacrine,Indinavir,DB00382,DB00224
255,Tacrine,Lovastatin,DB00382,DB00227
256,Tacrine,Mefloquine,DB00382,DB00358
257,Tacrine,Trimethoprim,DB00382,DB00440
258,Tacrine,Vincristine,DB00382,DB00541
259,Tacrine,Ivermectin,DB00382,DB00602
260,Tacrine,Chloroquine,DB00382,DB00608
261,Tacrine,Tacrolimus,DB00382,DB00864
262,Tacrine,Fenofibrate,DB00382,DB01039
263,Tacrine,Atorvastatin,DB00382,DB01076
264,Tacrine,Captopril,DB00382,DB01197
265,Tacrine,Paclitaxel,DB00382,DB01229
266,Tacrine,Saquinavir,DB00382,DB01232
267,Tacrine,Colchicine,DB00382,DB01394
268,Tacrine,Propofol,DB00382,DB00818
269,Tacrine,Trovafloxacin,DB00382,DB00685
270,Tacrine,Nevirapine,DB00382,DB00238
271,Tacrine,Famotidine,DB00382,DB00927
272,Tacrine,Citalopram,DB00382,DB00215
273,Tacrine,Belinostat,DB00382,DB05015
274,Tacrine,Rucaparib,DB00382,DB12332
275,Tacrine,Insulin pork,DB00382,DB00071
276,Tacrine,Phenylephrine,DB00382,DB00388
277,Tacrine,Nafcillin,DB00382,DB00607
278,Tacrine,Fosphenytoin,DB00382,DB01320
279,Tacrine,NN344,DB00382,DB05115
280,Tacrine,Armodafinil,DB00382,DB06413
281,Tacrine,beta-Naphthoflavone,DB00382,DB06732
282,Tacrine,Insulin beef,DB00382,DB09456
283,Tacrine,Omeprazole,DB00382,DB00338
284,Tacrine,Primaquine,DB00382,DB01087
285,Tacrine,Ritonavir,DB00382,DB00503
286,Tacrine,Promazine,DB00382,DB00420
287,Tacrine,Fluoxetine,DB00382,DB00472
288,Tacrine,Orphenadrine,DB00382,DB01173
289,Tacrine,Peginterferon alfa-2a,DB00382,DB00008
290,Tacrine,Interferon alfa-n1,DB00382,DB00011
291,Tacrine,Interferon alfa-n3,DB00382,DB00018
292,Tacrine,Interferon gamma-1b,DB00382,DB00033
293,Tacrine,Interferon beta-1a,DB00382,DB00060
294,Tacrine,Interferon beta-1b,DB00382,DB00068
295,Tacrine,Interferon alfacon-1,DB00382,DB00069
296,Tacrine,Ticlopidine,DB00382,DB00208
297,Tacrine,Valproic acid,DB00382,DB00313
298,Tacrine,Pefloxacin,DB00382,DB00487
299,Tacrine,Methoxsalen,DB00382,DB00553
300,Tacrine,Efavirenz,DB00382,DB00625
301,Tacrine,Dexmedetomidine,DB00382,DB00633
302,Tacrine,Thiabendazole,DB00382,DB00730
303,Tacrine,Methimazole,DB00382,DB00763
304,Tacrine,Nalidixic acid,DB00382,DB00779
305,Tacrine,Cinoxacin,DB00382,DB00827
306,Tacrine,Tegaserod,DB00382,DB01079
307,Tacrine,Resveratrol,DB00382,DB02709
308,Tacrine,Estrone sulfate,DB00382,DB04574
309,Tacrine,Obeticholic acid,DB00382,DB05990
310,Tacrine,Dapagliflozin,DB00382,DB06292
311,Tacrine,Niclosamide,DB00382,DB06803
312,Tacrine,Stiripentol,DB00382,DB09118
313,Tacrine,Grepafloxacin,DB00382,DB00365
314,Tacrine,Nifedipine,DB00382,DB01115
315,Tacrine,Propafenone,DB00382,DB01182
316,Tacrine,Mibefradil,DB00382,DB01388
317,Tacrine,Methylene blue,DB00382,DB09241
318,Tacrine,Interferon alfa,DB00382,DB05258
319,Tacrine,Atazanavir,DB00382,DB01072
320,Tacrine,Disopyramide,DB00382,DB00280
321,Tacrine,Amitriptyline,DB00382,DB00321
322,Tacrine,Olanzapine,DB00382,DB00334
323,Tacrine,Chlorpromazine,DB00382,DB00477
324,Tacrine,Paroxetine,DB00382,DB00715
325,Tacrine,Maprotiline,DB00382,DB00934
326,Tacrine,Doxepin,DB00382,DB01142
327,Tacrine,GTS-21,DB00382,DB05708
328,Tacrine,Betaxolol,DB00382,DB00195
329,Tacrine,Anagrelide,DB00382,DB00261
330,Tacrine,Carmustine,DB00382,DB00262
331,Tacrine,Theophylline,DB00382,DB00277
332,Tacrine,Conjugated estrogens,DB00382,DB00286
333,Tacrine,Ropivacaine,DB00382,DB00296
334,Tacrine,Zolmitriptan,DB00382,DB00315
335,Tacrine,Chlorzoxazone,DB00382,DB00356
336,Tacrine,Mirtazapine,DB00382,DB00370
337,Tacrine,Triamterene,DB00382,DB00384
338,Tacrine,Zolpidem,DB00382,DB00425
339,Tacrine,Nabumetone,DB00382,DB00461
340,Tacrine,Flutamide,DB00382,DB00499
341,Tacrine,Haloperidol,DB00382,DB00502
342,Tacrine,Mephenytoin,DB00382,DB00532
343,Tacrine,Fluorouracil,DB00382,DB00544
344,Tacrine,Cinnarizine,DB00382,DB00568
345,Tacrine,Clonidine,DB00382,DB00575
346,Tacrine,Diclofenac,DB00382,DB00586
347,Tacrine,Guanabenz,DB00382,DB00629
348,Tacrine,Pemetrexed,DB00382,DB00642
349,Tacrine,Warfarin,DB00382,DB00682
350,Tacrine,Tizanidine,DB00382,DB00697
351,Tacrine,Riluzole,DB00382,DB00740
352,Tacrine,Zileuton,DB00382,DB00744
353,Tacrine,Clopidogrel,DB00382,DB00758
354,Tacrine,Acyclovir,DB00382,DB00787
355,Tacrine,Naproxen,DB00382,DB00788
356,Tacrine,Pentoxifylline,DB00382,DB00806
357,Tacrine,Perphenazine,DB00382,DB00850
358,Tacrine,Dacarbazine,DB00382,DB00851
359,Tacrine,Cyclobenzaprine,DB00382,DB00924
360,Tacrine,Ramelteon,DB00382,DB00980
361,Tacrine,Azathioprine,DB00382,DB00993
362,Tacrine,Frovatriptan,DB00382,DB00998
363,Tacrine,Levobupivacaine,DB00382,DB01002
364,Tacrine,Cinacalcet,DB00382,DB01012
365,Tacrine,Tocainide,DB00382,DB01056
366,Tacrine,Praziquantel,DB00382,DB01058
367,Tacrine,Melatonin,DB00382,DB01065
368,Tacrine,Hesperetin,DB00382,DB01094
369,Tacrine,Cilostazol,DB00382,DB01166
370,Tacrine,Domperidone,DB00382,DB01184
371,Tacrine,Dexfenfluramine,DB00382,DB01191
372,Tacrine,Aminophylline,DB00382,DB01223
373,Tacrine,Dasatinib,DB00382,DB01254
374,Tacrine,Oxtriphylline,DB00382,DB01303
375,Tacrine,Rasagiline,DB00382,DB01367
376,Tacrine,Temafloxacin,DB00382,DB01405
377,Tacrine,Theobromine,DB00382,DB01412
378,Tacrine,Acenocoumarol,DB00382,DB01418
379,Tacrine,Aminophenazone,DB00382,DB01424
380,Tacrine,Antipyrine,DB00382,DB01435
381,Tacrine,Bromazepam,DB00382,DB01558
382,Tacrine,Thiothixene,DB00382,DB01623
383,Tacrine,Etoricoxib,DB00382,DB01628
384,Tacrine,8-azaguanine,DB00382,DB01667
385,Tacrine,Peldesine,DB00382,DB02568
386,Tacrine,Phenacetin,DB00382,DB03783
387,Tacrine,Hypoxanthine,DB00382,DB04076
388,Tacrine,9-Deazaguanine,DB00382,DB04356
389,Tacrine,Flunarizine,DB00382,DB04841
390,Tacrine,Lorcaserin,DB00382,DB04871
391,Tacrine,Lofexidine,DB00382,DB04948
392,Tacrine,Mianserin,DB00382,DB06148
393,Tacrine,Eltrombopag,DB00382,DB06210
394,Tacrine,Asenapine,DB00382,DB06216
395,Tacrine,Pazopanib,DB00382,DB06589
396,Tacrine,Agomelatine,DB00382,DB06594
397,Tacrine,Axitinib,DB00382,DB06626
398,Tacrine,Bendamustine,DB00382,DB06769
399,Tacrine,Capsaicin,DB00382,DB06774
400,Tacrine,Perampanel,DB00382,DB08883
401,Tacrine,Pomalidomide,DB00382,DB08910
402,Tacrine,Tasimelteon,DB00382,DB09071
403,Tacrine,Bicifadine,DB00382,DB04889
404,Tacrine,Flecainide,DB00382,DB01195
405,Tacrine,Genistein,DB00382,DB01645
406,Tacrine,Acetaminophen,DB00382,DB00316
407,Tacrine,Sorafenib,DB00382,DB00398
408,Tacrine,Quinine,DB00382,DB00468
409,Tacrine,Erlotinib,DB00382,DB00530
410,Tacrine,Propranolol,DB00382,DB00571
411,Tacrine,Imatinib,DB00382,DB00619
412,Tacrine,Verapamil,DB00382,DB00661
413,Tacrine,Tamoxifen,DB00382,DB00675
414,Tacrine,Etoposide,DB00382,DB00773
415,Tacrine,Estradiol,DB00382,DB00783
416,Tacrine,Trifluoperazine,DB00382,DB00831
417,Tacrine,Ranitidine,DB00382,DB00863
418,Tacrine,Azelastine,DB00382,DB00972
419,Tacrine,Ethinylestradiol,DB00382,DB00977
420,Tacrine,Pimozide,DB00382,DB01100
421,Tacrine,Carvedilol,DB00382,DB01136
422,Tacrine,Clomipramine,DB00382,DB01242
423,Tacrine,Benzyl alcohol,DB00382,DB06770
424,Tacrine,Bortezomib,DB00382,DB00188
425,Tacrine,Pirfenidone,DB00382,DB04951
426,Tacrine,Clozapine,DB00382,DB00363
427,Tacrine,Fenfluramine,DB00382,DB00574
428,Tacrine,Mefenamic acid,DB00382,DB00784
429,Tacrine,Ondansetron,DB00382,DB00904
430,Tacrine,Lomefloxacin,DB00382,DB00978
431,Tacrine,Selegiline,DB00382,DB01037
432,Tacrine,Benzocaine,DB00382,DB01086
433,Tacrine,Etanercept,DB00382,DB00005
434,Tacrine,Anakinra,DB00382,DB00026
435,Tacrine,Adalimumab,DB00382,DB00051
436,Tacrine,Infliximab,DB00382,DB00065
437,Tacrine,Abatacept,DB00382,DB01281
438,Tacrine,Afelimomab,DB00382,DB04956
439,Tacrine,Apremilast,DB00382,DB05676
440,Tacrine,Canakinumab,DB00382,DB06168
441,Tacrine,Tocilizumab,DB00382,DB06273
442,Tacrine,Rilonacept,DB00382,DB06372
443,Tacrine,Golimumab,DB00382,DB06674
444,Tacrine,Certolizumab pegol,DB00382,DB08904
445,Tacrine,Secukinumab,DB00382,DB09029
446,Tacrine,Siltuximab,DB00382,DB09036
447,Tacrine,Quinidine,DB00382,DB00908
448,Tacrine,Fluvoxamine,DB00382,DB00176
449,Tacrine,Enoxacin,DB00382,DB00467
450,Tacrine,Rofecoxib,DB00382,DB00533
451,Tacrine,Ciprofloxacin,DB00382,DB00537
452,Tacrine,Technetium Tc-99m ciprofloxacin,DB00382,DB05488
453,Tacrine,Amiodarone,DB00382,DB01118
454,Tacrine,Meclizine,DB00382,DB00737
455,Tacrine,Quercetin,DB00382,DB04216
456,Tacrine,Dronabinol,DB00382,DB00470
457,Tacrine,Roflumilast,DB00382,DB01656
458,Pyridostigmine,Methocarbamol,DB00545,DB00423
459,Pyridostigmine,Dipyridamole,DB00545,DB00975
460,Pyridostigmine,Ephedrine,DB00545,DB01364
461,Pyridostigmine,Bambuterol,DB00545,DB01408
462,Pyridostigmine,"Sar9, Met (O2)11-Substance P",DB00545,DB05875
463,Pyridostigmine,Procaine,DB00545,DB00721
464,Pyridostigmine,Cocaine,DB00545,DB00907
465,Pyridostigmine,Trimethaphan,DB00545,DB01116
466,Pyridostigmine,Doxacurium,DB00545,DB01135
467,Pyridostigmine,Chloroprocaine,DB00545,DB01161
468,Pyridostigmine,Tubocurarine,DB00545,DB01199
469,Pyridostigmine,Aclidinium,DB00545,DB08897
470,Pyridostigmine,Irinotecan,DB00545,DB00762
471,Pyridostigmine,Clevidipine,DB00545,DB04920
472,Pyridostigmine,Mirabegron,DB00545,DB08893
473,Pyridostigmine,Butyrylthiocholine,DB00545,DB04250
474,Pyridostigmine,Oxybuprocaine,DB00545,DB00892
475,Pyridostigmine,Benzonatate,DB00545,DB00868
476,Pyridostigmine,Succinylcholine,DB00545,DB00202
477,Pyridostigmine,Tramadol,DB00545,DB00193
478,Pyridostigmine,Trospium,DB00545,DB00209
479,Pyridostigmine,Oxyphenonium,DB00545,DB00219
480,Pyridostigmine,Butabarbital,DB00545,DB00237
481,Pyridostigmine,Butalbital,DB00545,DB00241
482,Pyridostigmine,Benzatropine,DB00545,DB00245
483,Pyridostigmine,Ziprasidone,DB00545,DB00246
484,Pyridostigmine,Disopyramide,DB00545,DB00280
485,Pyridostigmine,Talbutal,DB00545,DB00306
486,Pyridostigmine,Pentobarbital,DB00545,DB00312
487,Pyridostigmine,Ipratropium,DB00545,DB00332
488,Pyridostigmine,Methadone,DB00545,DB00333
489,Pyridostigmine,Olanzapine,DB00545,DB00334
490,Pyridostigmine,Metixene,DB00545,DB00340
491,Pyridostigmine,Buclizine,DB00545,DB00354
492,Pyridostigmine,Clozapine,DB00545,DB00363
493,Pyridostigmine,Doxylamine,DB00545,DB00366
494,Pyridostigmine,Trihexyphenidyl,DB00545,DB00376
495,Pyridostigmine,Oxyphencyclimine,DB00545,DB00383
496,Pyridostigmine,Procyclidine,DB00545,DB00387
497,Pyridostigmine,Profenamine,DB00545,DB00392
498,Pyridostigmine,Secobarbital,DB00545,DB00418
499,Pyridostigmine,Promazine,DB00545,DB00420
500,Pyridostigmine,Hyoscyamine,DB00545,DB00424
501,Pyridostigmine,Cyproheptadine,DB00545,DB00434
502,Pyridostigmine,Methscopolamine bromide,DB00545,DB00462
503,Pyridostigmine,Metharbital,DB00545,DB00463
504,Pyridostigmine,Fluoxetine,DB00545,DB00472
505,Pyridostigmine,Chlorpromazine,DB00545,DB00477
506,Pyridostigmine,Tridihexethyl,DB00545,DB00505
507,Pyridostigmine,Triflupromazine,DB00545,DB00508
508,Pyridostigmine,Dextromethorphan,DB00545,DB00514
509,Pyridostigmine,Anisotropine methylbromide,DB00545,DB00517
510,Pyridostigmine,Amoxapine,DB00545,DB00543
511,Pyridostigmine,Lamotrigine,DB00545,DB00555
512,Pyridostigmine,Atropine,DB00545,DB00572
513,Pyridostigmine,Thiopental,DB00545,DB00599
514,Pyridostigmine,Nicardipine,DB00545,DB00622
515,Pyridostigmine,Mecamylamine,DB00545,DB00657
516,Pyridostigmine,Pirenzepine,DB00545,DB00670
517,Pyridostigmine,Paroxetine,DB00545,DB00715
518,Pyridostigmine,Homatropine methylbromide,DB00545,DB00725
519,Pyridostigmine,Scopolamine,DB00545,DB00747
520,Pyridostigmine,Isoflurane,DB00545,DB00753
521,Pyridostigmine,Benzquinamide,DB00545,DB00767
522,Pyridostigmine,Clidinium,DB00545,DB00771
523,Pyridostigmine,Propiomazine,DB00545,DB00777
524,Pyridostigmine,Propantheline,DB00545,DB00782
525,Pyridostigmine,Primidone,DB00545,DB00794
526,Pyridostigmine,Dicyclomine,DB00545,DB00804
527,Pyridostigmine,Biperiden,DB00545,DB00810
528,Pyridostigmine,Brompheniramine,DB00545,DB00835
529,Pyridostigmine,Methylphenobarbital,DB00545,DB00849
530,Pyridostigmine,Amantadine,DB00545,DB00915
531,Pyridostigmine,Maprotiline,DB00545,DB00934
532,Pyridostigmine,Methantheline,DB00545,DB00940
533,Pyridostigmine,Hexafluronium,DB00545,DB00941
534,Pyridostigmine,Cycrimine,DB00545,DB00942
