id,dtype,protein_id,nhprotein_id,name,did,evidence,zscore,conf,description,reference,drug_name,log2foldchange,pvalue,score,source,O2S,S2O,mondoid,doid,name,def
222115,Expression Atlas,932,,Becker muscular dystrophy,DOID:9883,,,,,,,1.2,7.09E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222116,Expression Atlas,14114,,Becker muscular dystrophy,DOID:9883,,,,,,,1.204,0.006827319,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222117,Expression Atlas,4405,,Becker muscular dystrophy,DOID:9883,,,,,,,1.087,0.000144738,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222118,Expression Atlas,12130,,Becker muscular dystrophy,DOID:9883,,,,,,,1.013,0.000330165,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222119,Expression Atlas,10146,,Becker muscular dystrophy,DOID:9883,,,,,,,1.337,0.00011877,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222120,Expression Atlas,20188,,Becker muscular dystrophy,DOID:9883,,,,,,,1.145,0.00882414,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222121,Expression Atlas,18766,,Becker muscular dystrophy,DOID:9883,,,,,,,1.757,0.014019554,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222122,Expression Atlas,3998,,Becker muscular dystrophy,DOID:9883,,,,,,,1.327,0.00285644,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222123,Expression Atlas,9112,,Becker muscular dystrophy,DOID:9883,,,,,,,1.968,3.01E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222124,Expression Atlas,6903,,Becker muscular dystrophy,DOID:9883,,,,,,,1.253,0.006124919,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222125,Expression Atlas,3834,,Becker muscular dystrophy,DOID:9883,,,,,,,2.001,3.60E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222126,Expression Atlas,17061,,Becker muscular dystrophy,DOID:9883,,,,,,,1.692,0.03457738,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222127,Expression Atlas,3379,,Becker muscular dystrophy,DOID:9883,,,,,,,1.04,0.00304671,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222128,Expression Atlas,3902,,Becker muscular dystrophy,DOID:9883,,,,,,,1.022,5.04E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222129,Expression Atlas,11956,,Becker muscular dystrophy,DOID:9883,,,,,,,1.189,3.00E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222130,Expression Atlas,14091,,Becker muscular dystrophy,DOID:9883,,,,,,,2.854,0.017979679,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222131,Expression Atlas,19496,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.315,0.002892377,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222132,Expression Atlas,20403,,Becker muscular dystrophy,DOID:9883,,,,,,,4.138,1.13E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222133,Expression Atlas,12636,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.28,0.019643187,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222134,Expression Atlas,11805,,Becker muscular dystrophy,DOID:9883,,,,,,,1.214,0.003420033,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222135,Expression Atlas,11391,,Becker muscular dystrophy,DOID:9883,,,,,,,1.12,0.0029325,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222136,Expression Atlas,5115,,Becker muscular dystrophy,DOID:9883,,,,,,,1.41,0.011882511,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222137,Expression Atlas,7536,,Becker muscular dystrophy,DOID:9883,,,,,,,1.833,0.000744859,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222138,Expression Atlas,4070,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.233,0.029694229,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222139,Expression Atlas,12742,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.173,0.028801297,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222140,Expression Atlas,1836,,Becker muscular dystrophy,DOID:9883,,,,,,,1.383,0.003408656,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222141,Expression Atlas,5776,,Becker muscular dystrophy,DOID:9883,,,,,,,1.107,0.025011607,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222142,Expression Atlas,18122,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.207,0.042250123,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222143,Expression Atlas,5507,,Becker muscular dystrophy,DOID:9883,,,,,,,1.289,7.41E-07,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222144,Expression Atlas,19947,,Becker muscular dystrophy,DOID:9883,,,,,,,1.137,0.012242572,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222145,Expression Atlas,78,,Becker muscular dystrophy,DOID:9883,,,,,,,1.141,0.047820895,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222146,Expression Atlas,18638,,Becker muscular dystrophy,DOID:9883,,,,,,,1.667,0.000534469,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222147,Expression Atlas,13270,,Becker muscular dystrophy,DOID:9883,,,,,,,1.306,0.000182868,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222148,Expression Atlas,751,,Becker muscular dystrophy,DOID:9883,,,,,,,1.173,0.007391388,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222149,Expression Atlas,5053,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.46,0.011043171,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222150,Expression Atlas,1497,,Becker muscular dystrophy,DOID:9883,,,,,,,1.194,0.001101963,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222151,Expression Atlas,216,,Becker muscular dystrophy,DOID:9883,,,,,,,1.046,0.008028697,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222152,Expression Atlas,4433,,Becker muscular dystrophy,DOID:9883,,,,,,,1.05,0.000209683,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222153,Expression Atlas,8204,,Becker muscular dystrophy,DOID:9883,,,,,,,1.091,0.032121033,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222154,Expression Atlas,13684,,Becker muscular dystrophy,DOID:9883,,,,,,,1.006,1.13E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222155,Expression Atlas,37,,Becker muscular dystrophy,DOID:9883,,,,,,,1.422,0.000420522,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222156,Expression Atlas,13089,,Becker muscular dystrophy,DOID:9883,,,,,,,1.145,0.002209568,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222157,Expression Atlas,15601,,Becker muscular dystrophy,DOID:9883,,,,,,,1.06,0.009741194,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222158,Expression Atlas,20324,,Becker muscular dystrophy,DOID:9883,,,,,,,1.573,0.002132756,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222159,Expression Atlas,20181,,Becker muscular dystrophy,DOID:9883,,,,,,,2.342,3.60E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222160,Expression Atlas,20241,,Becker muscular dystrophy,DOID:9883,,,,,,,1.179,0.004378476,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222161,Expression Atlas,11865,,Becker muscular dystrophy,DOID:9883,,,,,,,1.105,0.00236472,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222162,Expression Atlas,11951,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.089,0.010192646,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222163,Expression Atlas,540,,Becker muscular dystrophy,DOID:9883,,,,,,,1.678,0.003168905,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222164,Expression Atlas,15967,,Becker muscular dystrophy,DOID:9883,,,,,,,1.045,0.031839668,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222165,Expression Atlas,987,,Becker muscular dystrophy,DOID:9883,,,,,,,1.031,0.013441998,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222166,Expression Atlas,16085,,Becker muscular dystrophy,DOID:9883,,,,,,,1.406,0.000306544,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222167,Expression Atlas,8835,,Becker muscular dystrophy,DOID:9883,,,,,,,1.731,0.00960638,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222168,Expression Atlas,20299,,Becker muscular dystrophy,DOID:9883,,,,,,,1.001,0.010757096,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222169,Expression Atlas,18654,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.138,0.004153153,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222170,Expression Atlas,15345,,Becker muscular dystrophy,DOID:9883,,,,,,,1.425,0.003145418,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222171,Expression Atlas,17307,,Becker muscular dystrophy,DOID:9883,,,,,,,1.401,6.89E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222172,Expression Atlas,5320,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.787,0.001499108,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222173,Expression Atlas,18121,,Becker muscular dystrophy,DOID:9883,,,,,,,1.285,0.001167161,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222174,Expression Atlas,218,,Becker muscular dystrophy,DOID:9883,,,,,,,1.059,0.00986487,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222175,Expression Atlas,686,,Becker muscular dystrophy,DOID:9883,,,,,,,1.858,0.000128584,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222176,Expression Atlas,2892,,Becker muscular dystrophy,DOID:9883,,,,,,,1.397,5.13E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222177,Expression Atlas,8391,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.102,0.003269482,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222178,Expression Atlas,9309,,Becker muscular dystrophy,DOID:9883,,,,,,,1.175,3.60E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222179,Expression Atlas,2655,,Becker muscular dystrophy,DOID:9883,,,,,,,1.438,0.001489996,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222180,Expression Atlas,16822,,Becker muscular dystrophy,DOID:9883,,,,,,,1.036,0.002957483,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222181,Expression Atlas,8825,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.229,0.026480701,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222182,Expression Atlas,18050,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.009,0.018886538,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222183,Expression Atlas,9207,,Becker muscular dystrophy,DOID:9883,,,,,,,1.029,0.00119317,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222184,Expression Atlas,19717,,Becker muscular dystrophy,DOID:9883,,,,,,,1.199,0.006122133,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222185,Expression Atlas,15819,,Becker muscular dystrophy,DOID:9883,,,,,,,1.205,0.000209683,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222186,Expression Atlas,9350,,Becker muscular dystrophy,DOID:9883,,,,,,,1.071,2.66E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222187,Expression Atlas,8831,,Becker muscular dystrophy,DOID:9883,,,,,,,1.383,0.008331742,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222188,Expression Atlas,7681,,Becker muscular dystrophy,DOID:9883,,,,,,,1.115,0.007872287,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222189,Expression Atlas,263,,Becker muscular dystrophy,DOID:9883,,,,,,,1.403,0.012343774,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222190,Expression Atlas,1848,,Becker muscular dystrophy,DOID:9883,,,,,,,1.129,0.000133639,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222191,Expression Atlas,9109,,Becker muscular dystrophy,DOID:9883,,,,,,,1.161,0.000182868,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222192,Expression Atlas,3665,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.878,0.033380206,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222193,Expression Atlas,19881,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.15,0.00057246,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222194,Expression Atlas,6825,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.245,0.00025576,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222195,Expression Atlas,7846,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.27,0.023156147,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222196,Expression Atlas,15357,,Becker muscular dystrophy,DOID:9883,,,,,,,2.056,5.04E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222197,Expression Atlas,12989,,Becker muscular dystrophy,DOID:9883,,,,,,,1.207,0.000975498,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222198,Expression Atlas,19551,,Becker muscular dystrophy,DOID:9883,,,,,,,1.191,0.00126046,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222199,Expression Atlas,7974,,Becker muscular dystrophy,DOID:9883,,,,,,,1.192,0.000411985,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222200,Expression Atlas,12714,,Becker muscular dystrophy,DOID:9883,,,,,,,1.236,0.000735395,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222201,Expression Atlas,9439,,Becker muscular dystrophy,DOID:9883,,,,,,,2.257,0.01108952,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222202,Expression Atlas,4160,,Becker muscular dystrophy,DOID:9883,,,,,,,1.701,3.89E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222203,Expression Atlas,219,,Becker muscular dystrophy,DOID:9883,,,,,,,1.688,0.002040638,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222204,Expression Atlas,5862,,Becker muscular dystrophy,DOID:9883,,,,,,,1.203,0.007295836,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222205,Expression Atlas,18124,,Becker muscular dystrophy,DOID:9883,,,,,,,1.118,0.030711282,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222206,Expression Atlas,8933,,Becker muscular dystrophy,DOID:9883,,,,,,,1.002,0.018005601,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222207,Expression Atlas,5456,,Becker muscular dystrophy,DOID:9883,,,,,,,1.415,0.003292773,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222208,Expression Atlas,14101,,Becker muscular dystrophy,DOID:9883,,,,,,,1.715,0.017914123,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222209,Expression Atlas,20196,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.026,0.027191456,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222210,Expression Atlas,6547,,Becker muscular dystrophy,DOID:9883,,,,,,,1.276,0.009465727,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222211,Expression Atlas,20149,,Becker muscular dystrophy,DOID:9883,,,,,,,1.751,0.004762733,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222212,Expression Atlas,9968,,Becker muscular dystrophy,DOID:9883,,,,,,,1.482,8.30E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222213,Expression Atlas,5584,,Becker muscular dystrophy,DOID:9883,,,,,,,1.441,0.029323221,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222214,Expression Atlas,8916,,Becker muscular dystrophy,DOID:9883,,,,,,,1.796,0.005566998,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222215,Expression Atlas,16468,,Becker muscular dystrophy,DOID:9883,,,,,,,1.261,0.000707306,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222216,Expression Atlas,4284,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.408,0.013551987,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222217,Expression Atlas,10604,,Becker muscular dystrophy,DOID:9883,,,,,,,1.017,0.001275846,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222218,Expression Atlas,35,,Becker muscular dystrophy,DOID:9883,,,,,,,2.155,0.014734653,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222219,Expression Atlas,17025,,Becker muscular dystrophy,DOID:9883,,,,,,,1.873,0.000234124,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222220,Expression Atlas,2423,,Becker muscular dystrophy,DOID:9883,,,,,,,1.331,0.000496755,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222221,Expression Atlas,15434,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.041,0.042377211,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222222,Expression Atlas,1658,,Becker muscular dystrophy,DOID:9883,,,,,,,1.065,4.96E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222223,Expression Atlas,13022,,Becker muscular dystrophy,DOID:9883,,,,,,,1.052,0.000200199,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222224,Expression Atlas,8631,,Becker muscular dystrophy,DOID:9883,,,,,,,1.152,0.001049658,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222225,Expression Atlas,15605,,Becker muscular dystrophy,DOID:9883,,,,,,,1.349,0.004346965,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222226,Expression Atlas,8867,,Becker muscular dystrophy,DOID:9883,,,,,,,1.741,0.000889116,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222227,Expression Atlas,13150,,Becker muscular dystrophy,DOID:9883,,,,,,,1.106,0.001144777,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222228,Expression Atlas,17269,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.224,5.04E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222229,Expression Atlas,12956,,Becker muscular dystrophy,DOID:9883,,,,,,,1.132,0.038544951,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222230,Expression Atlas,13053,,Becker muscular dystrophy,DOID:9883,,,,,,,1.111,0.0038604,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222231,Expression Atlas,1969,,Becker muscular dystrophy,DOID:9883,,,,,,,1.094,0.00011877,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222232,Expression Atlas,9625,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.017,0.016258343,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222233,Expression Atlas,15515,,Becker muscular dystrophy,DOID:9883,,,,,,,1.205,3.90E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222234,Expression Atlas,11275,,Becker muscular dystrophy,DOID:9883,,,,,,,1.133,6.89E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
